,file,risk measure,OHR,copula
133,10.csv,ES q=0.01,0.7500976562499998,Clayton
134,10.csv,ES q=0.01,1.1492187500000004,Frank
135,10.csv,ES q=0.01,1.1756835937500003,Gumbel
136,10.csv,ES q=0.01,0.96845703125,Plackett
137,10.csv,ES q=0.01,0.6558593749999997,Gauss Mix Indep
138,10.csv,ES q=0.01,0.8630859374999997,rotGumbel
139,10.csv,ES q=0.01,0.6754131389048588,NIG
140,10.csv,ES q=0.05,1.01865234375,Gaussian
141,10.csv,ES q=0.05,0.7640624999999998,t_Copula
142,10.csv,ES q=0.05,0.7929687499999998,t_Copula_Capped
143,10.csv,ES q=0.05,0.7218749999999998,Clayton
144,10.csv,ES q=0.05,1.02099609375,Frank
145,10.csv,ES q=0.05,0.96923828125,Gumbel
146,10.csv,ES q=0.05,0.8581054687499998,Plackett
147,10.csv,ES q=0.05,0.6586914062499997,Gauss Mix Indep
148,10.csv,ES q=0.05,0.7949218749999999,rotGumbel
149,10.csv,ES q=0.05,0.693813730865889,NIG
150,10.csv,VaR q=0.01,1.0750000000000002,Gaussian
151,10.csv,VaR q=0.01,0.8292968749999997,t_Copula
152,10.csv,VaR q=0.01,0.8433593749999999,t_Copula_Capped
153,10.csv,VaR q=0.01,0.6781249999999996,Clayton
154,10.csv,VaR q=0.01,1.0013671875,Frank
155,10.csv,VaR q=0.01,1.0255859374999998,Gumbel
156,10.csv,VaR q=0.01,0.8189453124999999,Plackett
157,10.csv,VaR q=0.01,0.5794921874999996,Gauss Mix Indep
158,10.csv,VaR q=0.01,0.7234374999999997,rotGumbel
159,10.csv,VaR q=0.01,0.6856659359018398,NIG
160,10.csv,VaR q=0.05,0.8509765624999999,Gaussian
161,10.csv,VaR q=0.05,0.8007812499999998,t_Copula
162,10.csv,VaR q=0.05,0.7906249999999999,t_Copula_Capped
163,10.csv,VaR q=0.05,0.7238281249999996,Clayton
164,10.csv,VaR q=0.05,0.949609375,Frank
165,10.csv,VaR q=0.05,0.8226562499999999,Gumbel
166,10.csv,VaR q=0.05,0.8457031249999999,Plackett
167,10.csv,VaR q=0.05,0.7924804687499998,Gauss Mix Indep
168,10.csv,VaR q=0.05,0.8058593749999998,rotGumbel
169,10.csv,VaR q=0.05,0.7545140394550065,NIG
170,10.csv,Variance,1.058203125,Gaussian
171,10.csv,Variance,0.9612304687499998,t_Copula
172,10.csv,Variance,0.9734375,t_Copula_Capped
173,10.csv,Variance,0.8996093749999999,Clayton
174,10.csv,Variance,1.0738281250000004,Frank
175,10.csv,Variance,0.97841796875,Gumbel
176,10.csv,Variance,1.0052734375,Plackett
177,10.csv,Variance,0.91787109375,Gauss Mix Indep
178,10.csv,Variance,1.0066406250000002,rotGumbel
179,10.csv,Variance,0.9045802359449152,NIG
180,100.csv,ERM k=10,1.4862304687500014,Gaussian
181,100.csv,ERM k=10,1.4396484375000012,t_Copula
182,100.csv,ERM k=10,1.446191406250001,t_Copula_Capped
183,100.csv,ERM k=10,1.432421875000001,Clayton
184,100.csv,ERM k=10,1.5259765625000017,Frank
185,100.csv,ERM k=10,1.635937500000002,Gumbel
186,100.csv,ERM k=10,1.450000000000001,Plackett
187,100.csv,ERM k=10,1.4047851562500009,Gauss Mix Indep
188,100.csv,ERM k=10,1.3438476562500008,rotGumbel
189,100.csv,ERM k=10,1.3513117233596592,NIG
190,100.csv,ES q=0.01,1.400683593750001,Gaussian
191,100.csv,ES q=0.01,1.2322265625000006,t_Copula
192,100.csv,ES q=0.01,1.2683593750000006,t_Copula_Capped
193,100.csv,ES q=0.01,1.058203125,Clayton
194,100.csv,ES q=0.01,1.2468750000000006,Frank
195,100.csv,ES q=0.01,1.6472656250000015,Gumbel
196,100.csv,ES q=0.01,1.1875976562500004,Plackett
197,100.csv,ES q=0.01,0.8637695312499999,Gauss Mix Indep
198,100.csv,ES q=0.01,1.2174804687500007,rotGumbel
199,100.csv,ES q=0.01,0.9524796785148784,NIG
200,100.csv,ES q=0.05,1.4855468750000012,Gaussian
201,100.csv,ES q=0.05,1.3923828125000013,t_Copula
202,100.csv,ES q=0.05,1.405566406250001,t_Copula_Capped
203,100.csv,ES q=0.05,1.3070312500000008,Clayton
204,100.csv,ES q=0.05,1.444628906250001,Frank
205,100.csv,ES q=0.05,1.654199218750002,Gumbel
206,100.csv,ES q=0.05,1.329980468750001,Plackett
207,100.csv,ES q=0.05,1.1610351562500003,Gauss Mix Indep
208,100.csv,ES q=0.05,1.2643554687500007,rotGumbel
209,100.csv,ES q=0.05,1.1151990147066009,NIG
210,100.csv,VaR q=0.01,1.5139648437500015,Gaussian
211,100.csv,VaR q=0.01,1.3610351562500007,t_Copula
212,100.csv,VaR q=0.01,1.3695312500000008,t_Copula_Capped
213,100.csv,VaR q=0.01,1.10302734375,Clayton
214,100.csv,VaR q=0.01,1.3437500000000009,Frank
215,100.csv,VaR q=0.01,1.727246093750002,Gumbel
216,100.csv,VaR q=0.01,1.2687500000000007,Plackett
217,100.csv,VaR q=0.01,1.06240234375,Gauss Mix Indep
218,100.csv,VaR q=0.01,1.3375000000000008,rotGumbel
219,100.csv,VaR q=0.01,1.0591692042148702,NIG
220,100.csv,VaR q=0.05,1.5316406250000012,Gaussian
221,100.csv,VaR q=0.05,1.5189453125000016,t_Copula
222,100.csv,VaR q=0.05,1.5195312500000016,t_Copula_Capped
223,100.csv,VaR q=0.05,1.5470703125000016,Clayton
224,100.csv,VaR q=0.05,1.677246093750001,Frank
225,100.csv,VaR q=0.05,1.6074218750000018,Gumbel
226,100.csv,VaR q=0.05,1.5391601562500012,Plackett
227,100.csv,VaR q=0.05,1.560839843750002,Gauss Mix Indep
228,100.csv,VaR q=0.05,1.482617187500001,rotGumbel
229,100.csv,VaR q=0.05,1.405415690634071,NIG
230,100.csv,Variance,1.4974609375000012,Gaussian
231,100.csv,Variance,1.446875000000001,t_Copula
232,100.csv,Variance,1.4549804687500014,t_Copula_Capped
233,100.csv,Variance,1.5773437500000018,Clayton
234,100.csv,Variance,1.5082031250000014,Frank
235,100.csv,Variance,1.4870117187500016,Gumbel
236,100.csv,Variance,1.455859375000001,Plackett
237,100.csv,Variance,1.350390625000001,Gauss Mix Indep
238,100.csv,Variance,1.4889648437500016,rotGumbel
239,100.csv,Variance,1.3196153758972091,NIG
240,101.csv,ERM k=10,1.5095703125000015,Gaussian
241,101.csv,ERM k=10,1.4249023437500012,t_Copula
242,101.csv,ERM k=10,1.470214843750001,t_Copula_Capped
243,101.csv,ERM k=10,1.433105468750001,Clayton
244,101.csv,ERM k=10,1.5490234375000016,Frank
245,101.csv,ERM k=10,1.6652343750000016,Gumbel
246,101.csv,ERM k=10,1.4723632812500012,Plackett
247,101.csv,ERM k=10,1.4057617187500009,Gauss Mix Indep
248,101.csv,ERM k=10,1.357812500000001,rotGumbel
249,101.csv,ERM k=10,1.330126660652404,NIG
250,101.csv,ES q=0.01,1.417285156250001,Gaussian
251,101.csv,ES q=0.01,1.0949218749999998,t_Copula
252,101.csv,ES q=0.01,1.2898437500000008,t_Copula_Capped
253,101.csv,ES q=0.01,1.06552734375,Clayton
254,101.csv,ES q=0.01,1.2540039062500008,Frank
255,101.csv,ES q=0.01,1.7227539062500017,Gumbel
256,101.csv,ES q=0.01,1.1942382812500003,Plackett
257,101.csv,ES q=0.01,0.8288085937499997,Gauss Mix Indep
258,101.csv,ES q=0.01,1.2271484375000006,rotGumbel
259,101.csv,ES q=0.01,0.9439784764156554,NIG
260,101.csv,ES q=0.05,1.5117187500000016,Gaussian
261,101.csv,ES q=0.05,1.3461914062500009,t_Copula
262,101.csv,ES q=0.05,1.4411132812500012,t_Copula_Capped
263,101.csv,ES q=0.05,1.3174804687500012,Clayton
264,101.csv,ES q=0.05,1.4678710937500012,Frank
265,101.csv,ES q=0.05,1.6674804687500018,Gumbel
266,101.csv,ES q=0.05,1.3569335937500009,Plackett
