coin,weight
go,0.00012234273443693602
golos,1.2293248982702081e-05
gpkr,4.005701538800716e-06
grc,3.124866153560594e-05
gre,5.300209659616859e-05
grft,5.0211606312196336e-05
grs,0.00019015367378117574
gsc,3.399494170656808e-05
gse,0.0005570937978207007
gsr,2.700002395134802e-06
gtc,9.201326287172539e-05
gto,0.00017766762518878413
gup,1.9963307953798125e-05
gus,4.392715125326915e-06
gvt,0.00014829600456466933
hac,4.0385181500861716e-06
hat,1.897533335987041e-06
hb,7.74819596543869e-06
hbt,8.80109281307339e-06
hbz,4.5513045106879555e-06
hc,4.375716592069494e-05
heat,5.641739745766517e-06
hgt,7.0179105311347896e-06
hire,3.1253337607950226e-06
hmq,3.306616076107277e-05
hodl,2.1137144923059303e-06
horse,4.237609036022355e-06
hot,0.0009331961751816065
hpay,1.8918570356463301e-06
hpb,0.000144073668522672
hqx,5.416957389202629e-06
hst,2.3685962553906055e-05
ht,0.0018950236118888079
huc,5.522193661201068e-06
hur,2.675224697722056e-06
hush,3.198632183944814e-06
hvn,5.906935382148977e-05
hwc,2.5121838223246373e-05
hyc,0.00019152032197750223
hydro,0.00013304486558253498
hyp,5.691909128790668e-06
i0c,3.0704826630698306e-06
ic,2.1670714440331827e-06
icos,8.665828097104864e-06
icr,3.311413173313184e-05
icx,0.0013094844138002099
idex,4.433127869379011e-05
idh,1.346881324802656e-05
idxm,8.723163084673215e-06
ifc,2.6181933742428672e-05
iflt,3.025920629959803e-06
ift,1.2308177434064728e-05
ig,2.071673050628774e-06
ignis,0.00015152819557944162
iht,4.332560663989396e-05
incnt,2.4376307413733875e-05
ind,7.85696394868333e-06
ing,4.023720094743699e-06
ink,4.7643576451391474e-05
inn,2.229640849149224e-06
ins,4.450035576976771e-05
instar,6.638718228928981e-06
insur,2.2719017944838294e-05
int,5.190271460364689e-05
inxt,8.871564816921844e-06
ioc,3.832400115012288e-05
ion,8.74334045179248e-05
iop,7.015766843868155e-06
iost,0.0005154132272655754
iotx,7.728719371300276e-05
iov,4.392340980323129e-05
ipl,1.2172654819587417e-05
ipsx,5.4641633151418875e-06
iqn,2.5181011403548437e-06
itc,8.945469418068441e-05
ivy,2.6740965533825582e-05
ixc,3.520516676195554e-06
ixt,1.684892434062601e-05
j8t,9.082186942870333e-06
jex,5.127155047833999e-05
jiyox,1.6655444046503884e-06
jnt,7.544186124501897e-05
jot,2.655432733494073e-06
kai,2.377975048370894e-05
kan,0.00013162686290967248
kb3,7.56359318742701e-06
kcs,0.0005216679198304749
kek,3.411353612321279e-06
key,2.060144835180074e-05
kick,5.060000388186059e-05
kin,0.00025719824810449456
kind,3.2445586316543056e-06
klks,2.7495383429789258e-06
kln,2.0105767301005165e-06
kmd,0.000605795734890095
knc,0.00027467844840131433
kndc,2.475938440125952e-06
know,1.4497688379129591e-05
kobo,1.6817114906421057e-06
kore,6.0410920397403586e-06
krb,5.058740410457612e-06
krl,2.6287539063514755e-06
kwatt,6.737400222074953e-06
la,2.8051055645167296e-05
latx,8.570962960143e-06
lba,7.73549083092733e-05
lbc,4.964629137467046e-05
lc4,6.647147677824554e-05
lcc,8.623566783459127e-05
ldoge,4.6949173727092025e-06
ledu,8.680860704797586e-06
lend,4.746315755867421e-05
let,2.874880481149578e-05
lev,2.932386874566589e-05
lgo,5.8990144596127006e-05
lgs,1.5239073656965571e-05
lif,1.057545250159572e-05
life,7.790591954428744e-06
link,0.0005219854646357448
live,4.050096635281901e-06
lkk,4.563684575015325e-05
lky,0.00016373770479950774
lnc,1.859539791895372e-06
lnd,5.96705131054973e-06
loc,2.1142240770641744e-05
loci,6.012867693465706e-06
loki,3.264759534317319e-05
loom,0.00025421643787171527
lpc,2.785817603058351e-05
lrc,0.0003471272702870945
lrn,3.2647232448964974e-06
lsk,0.0021615852270741556
ltc,0.016191214055236818
lun,3.839628418584796e-05
lux,4.981031030734301e-05
lyl,6.205241447924604e-05
lym,6.937062834987737e-05
mad,0.00010301218869465943
mage,2.5372673026019342e-06
maid,0.0005343597500117554
man,0.0001648456516436444
mana,0.0003612860819422339
manna,6.0362502563831204e-05
mano,2.046115260097864e-06
marks,4.084101178537721e-06
mbi,5.149202311636551e-06
mco,0.0003329894514675934
mds,0.0001000624861493063
mdt,1.4312679287947973e-05
medic,5.5163711620993074e-06
medx,7.447625319762787e-05
meme,5.166872894340846e-06
mer,3.415039827204676e-05
met,5.838365797236929e-05
metm,2.256363200133662e-06
mfg,2.350467217008254e-06
