Date,BITX,% Change
Sat Aug 19 2017 20:00:00 GMT-0400,6084.65,1.50%
Sun Aug 20 2017 20:00:00 GMT-0400,6029.64,-0.90%
Mon Aug 21 2017 20:00:00 GMT-0400,6134.93,1.75%
Tue Aug 22 2017 20:00:00 GMT-0400,6302.74,2.74%
Wed Aug 23 2017 20:00:00 GMT-0400,6426.92,1.97%
Thu Aug 24 2017 20:00:00 GMT-0400,6562.35,2.11%
Fri Aug 25 2017 20:00:00 GMT-0400,6644.35,1.25%
Sat Aug 26 2017 20:00:00 GMT-0400,6713.61,1.04%
Sun Aug 27 2017 20:00:00 GMT-0400,6806.8,1.39%
Mon Aug 28 2017 20:00:00 GMT-0400,6853.87,0.69%
Tue Aug 29 2017 20:00:00 GMT-0400,7064.32,3.07%
Wed Aug 30 2017 20:00:00 GMT-0400,7118.25,0.76%
Thu Aug 31 2017 20:00:00 GMT-0400,7378.74,3.66%
Fri Sep 01 2017 20:00:00 GMT-0400,7661.76,3.84%
Sat Sep 02 2017 20:00:00 GMT-0400,7071.93,-7.70%
Sun Sep 03 2017 20:00:00 GMT-0400,7075.65,0.05%
Mon Sep 04 2017 20:00:00 GMT-0400,6299.18,-10.97%
Tue Sep 05 2017 20:00:00 GMT-0400,6579.57,4.45%
Wed Sep 06 2017 20:00:00 GMT-0400,6991.13,6.26%
Thu Sep 07 2017 20:00:00 GMT-0400,7022.29,0.45%
Fri Sep 08 2017 20:00:00 GMT-0400,6393.26,-8.96%
Sat Sep 09 2017 20:00:00 GMT-0400,6323.06,-1.10%
Sun Sep 10 2017 20:00:00 GMT-0400,6198.22,-1.97%
Mon Sep 11 2017 20:00:00 GMT-0400,6275.12,1.24%
Tue Sep 12 2017 20:00:00 GMT-0400,6185.33,-1.43%
Wed Sep 13 2017 20:00:00 GMT-0400,5860.18,-5.26%
Thu Sep 14 2017 20:00:00 GMT-0400,4656.53,-20.54%
Fri Sep 15 2017 20:00:00 GMT-0400,5359.52,15.10%
Sat Sep 16 2017 20:00:00 GMT-0400,5321.12,-0.72%
Sun Sep 17 2017 20:00:00 GMT-0400,5326.81,0.11%
Mon Sep 18 2017 20:00:00 GMT-0400,6030.57,13.21%
Tue Sep 19 2017 20:00:00 GMT-0400,5850.89,-2.98%
Wed Sep 20 2017 20:00:00 GMT-0400,5798.45,-0.90%
Thu Sep 21 2017 20:00:00 GMT-0400,5351.91,-7.70%
Fri Sep 22 2017 20:00:00 GMT-0400,5412.98,1.14%
Sat Sep 23 2017 20:00:00 GMT-0400,5682.96,4.99%
Sun Sep 24 2017 20:00:00 GMT-0400,5541.62,-2.49%
Mon Sep 25 2017 20:00:00 GMT-0400,5886.02,6.21%
Tue Sep 26 2017 20:00:00 GMT-0400,5837.85,-0.82%
Wed Sep 27 2017 20:00:00 GMT-0400,6301.94,7.95%
Thu Sep 28 2017 20:00:00 GMT-0400,6223.89,-1.24%
Fri Sep 29 2017 20:00:00 GMT-0400,6140.95,-1.33%
Sat Sep 30 2017 20:00:00 GMT-0400,6359,3.55%
Sun Oct 01 2017 20:00:00 GMT-0400,6396.28,0.59%
Mon Oct 02 2017 20:00:00 GMT-0400,6344,-0.82%
Tue Oct 03 2017 20:00:00 GMT-0400,6219.27,-1.97%
Wed Oct 04 2017 20:00:00 GMT-0400,6110.33,-1.75%
Thu Oct 05 2017 20:00:00 GMT-0400,6277.87,2.74%
Fri Oct 06 2017 20:00:00 GMT-0400,6372.92,1.51%
Sat Oct 07 2017 20:00:00 GMT-0400,6456.56,1.31%
Sun Oct 08 2017 20:00:00 GMT-0400,6640.96,2.86%
Mon Oct 09 2017 20:00:00 GMT-0400,6596.8,-0.66%
Tue Oct 10 2017 20:00:00 GMT-0400,6620.7,0.36%
Wed Oct 11 2017 20:00:00 GMT-0400,6708.59,1.33%
Thu Oct 12 2017 20:00:00 GMT-0400,7196.01,7.27%
Fri Oct 13 2017 20:00:00 GMT-0400,7565.12,5.13%
Sat Oct 14 2017 20:00:00 GMT-0400,7730.73,2.19%
Sun Oct 15 2017 20:00:00 GMT-0400,7630.35,-1.30%
Mon Oct 16 2017 20:00:00 GMT-0400,7650.72,0.27%
Tue Oct 17 2017 20:00:00 GMT-0400,7416.29,-3.06%
Wed Oct 18 2017 20:00:00 GMT-0400,7330.44,-1.16%
Thu Oct 19 2017 20:00:00 GMT-0400,7387.63,0.78%
Fri Oct 20 2017 20:00:00 GMT-0400,7589.84,2.74%
Sat Oct 21 2017 20:00:00 GMT-0400,7557.89,-0.42%
Sun Oct 22 2017 20:00:00 GMT-0400,7492.03,-0.87%
Mon Oct 23 2017 20:00:00 GMT-0400,7350.36,-1.89%
Tue Oct 24 2017 20:00:00 GMT-0400,7144.76,-2.80%
Wed Oct 25 2017 20:00:00 GMT-0400,7320.29,2.46%
Thu Oct 26 2017 20:00:00 GMT-0400,7450.76,1.78%
Fri Oct 27 2017 20:00:00 GMT-0400,7382.89,-0.91%
Sat Oct 28 2017 20:00:00 GMT-0400,7370.34,-0.17%
Sun Oct 29 2017 20:00:00 GMT-0400,7786.33,5.64%
Mon Oct 30 2017 20:00:00 GMT-0400,7789.05,0.03%
Tue Oct 31 2017 20:00:00 GMT-0400,8010.95,2.85%
Wed Nov 01 2017 20:00:00 GMT-0400,8258.06,3.08%
Thu Nov 02 2017 20:00:00 GMT-0400,8498.25,2.91%
