Date,BITW20,% Change
Thu May 25 2017 20:00:00 GMT-0400,11146.91,-12.97%
Fri May 26 2017 20:00:00 GMT-0400,10132.93,-9.10%
Sat May 27 2017 20:00:00 GMT-0400,9685,-4.42%
Sun May 28 2017 20:00:00 GMT-0400,10218.78,5.51%
Mon May 29 2017 20:00:00 GMT-0400,10985.15,7.50%
Tue May 30 2017 20:00:00 GMT-0400,11230.36,2.23%
Wed May 31 2017 20:00:00 GMT-0400,11359.92,1.15%
Thu Jun 01 2017 20:00:00 GMT-0400,12549.7,10.47%
Fri Jun 02 2017 20:00:00 GMT-0400,14041.84,11.89%
Sat Jun 03 2017 20:00:00 GMT-0400,15402.33,9.69%
Sun Jun 04 2017 20:00:00 GMT-0400,15867.18,3.02%
Mon Jun 05 2017 20:00:00 GMT-0400,17464.05,10.06%
Tue Jun 06 2017 20:00:00 GMT-0400,19026.09,8.94%
Wed Jun 07 2017 20:00:00 GMT-0400,17907.26,-5.88%
Thu Jun 08 2017 20:00:00 GMT-0400,20186.98,12.73%
Fri Jun 09 2017 20:00:00 GMT-0400,21621.26,7.10%
Sat Jun 10 2017 20:00:00 GMT-0400,20705.97,-4.23%
Sun Jun 11 2017 20:00:00 GMT-0400,21956.85,6.04%
Mon Jun 12 2017 20:00:00 GMT-0400,19626.26,-10.61%
Tue Jun 13 2017 20:00:00 GMT-0400,21349.71,8.78%
Wed Jun 14 2017 20:00:00 GMT-0400,19328.75,-9.47%
Thu Jun 15 2017 20:00:00 GMT-0400,19188.77,-0.72%
Fri Jun 16 2017 20:00:00 GMT-0400,19410.55,1.16%
Sat Jun 17 2017 20:00:00 GMT-0400,19879.59,2.42%
Sun Jun 18 2017 20:00:00 GMT-0400,19656.84,-1.12%
Mon Jun 19 2017 20:00:00 GMT-0400,20693.68,5.27%
Tue Jun 20 2017 20:00:00 GMT-0400,20268.51,-2.05%
Wed Jun 21 2017 20:00:00 GMT-0400,19687.7,-2.87%
Thu Jun 22 2017 20:00:00 GMT-0400,19876.49,0.96%
Fri Jun 23 2017 20:00:00 GMT-0400,20981.76,5.56%
Sat Jun 24 2017 20:00:00 GMT-0400,19800.43,-5.63%
Sun Jun 25 2017 20:00:00 GMT-0400,18496.52,-6.59%
Mon Jun 26 2017 20:00:00 GMT-0400,16948.34,-8.37%
Tue Jun 27 2017 20:00:00 GMT-0400,17193.02,1.44%
Wed Jun 28 2017 20:00:00 GMT-0400,18057.18,5.03%
Thu Jun 29 2017 20:00:00 GMT-0400,17090.84,-5.35%
Fri Jun 30 2017 20:00:00 GMT-0400,16750.88,-1.99%
Sat Jul 01 2017 20:00:00 GMT-0400,15920.72,-4.96%
Sun Jul 02 2017 20:00:00 GMT-0400,16223.63,1.90%
Mon Jul 03 2017 20:00:00 GMT-0400,16465.29,1.49%
Tue Jul 04 2017 20:00:00 GMT-0400,16976.8,3.11%
Wed Jul 05 2017 20:00:00 GMT-0400,16888.67,-0.52%
Thu Jul 06 2017 20:00:00 GMT-0400,16621.11,-1.58%
Fri Jul 07 2017 20:00:00 GMT-0400,14128.68,-15.00%
Sat Jul 08 2017 20:00:00 GMT-0400,14840.47,5.04%
Sun Jul 09 2017 20:00:00 GMT-0400,13637.39,-8.11%
Mon Jul 10 2017 20:00:00 GMT-0400,10560.06,-22.57%
Tue Jul 11 2017 20:00:00 GMT-0400,9938.77,-5.88%
Wed Jul 12 2017 20:00:00 GMT-0400,11981.74,20.56%
Thu Jul 13 2017 20:00:00 GMT-0400,11012.04,-8.09%
Fri Jul 14 2017 20:00:00 GMT-0400,9944.01,-9.70%
Sat Jul 15 2017 20:00:00 GMT-0400,8863.72,-10.86%
Sun Jul 16 2017 20:00:00 GMT-0400,8302.21,-6.33%
Mon Jul 17 2017 20:00:00 GMT-0400,10223.15,23.14%
Tue Jul 18 2017 20:00:00 GMT-0400,11008.3,7.68%
Wed Jul 19 2017 20:00:00 GMT-0400,10162.35,-7.68%
Thu Jul 20 2017 20:00:00 GMT-0400,12020.36,18.28%
Fri Jul 21 2017 20:00:00 GMT-0400,12011.05,-0.08%
Sat Jul 22 2017 20:00:00 GMT-0400,13832.61,15.17%
Sun Jul 23 2017 20:00:00 GMT-0400,13225.71,-4.39%
Mon Jul 24 2017 20:00:00 GMT-0400,13144.78,-0.61%
Tue Jul 25 2017 20:00:00 GMT-0400,11180.36,-14.94%
Wed Jul 26 2017 20:00:00 GMT-0400,11024.84,-1.39%
Thu Jul 27 2017 20:00:00 GMT-0400,11147.8,1.12%
Fri Jul 28 2017 20:00:00 GMT-0400,10632.45,-4.62%
Sat Jul 29 2017 20:00:00 GMT-0400,10959.35,3.07%
Sun Jul 30 2017 20:00:00 GMT-0400,10495.88,-4.23%
Mon Jul 31 2017 20:00:00 GMT-0400,10514.18,0.17%
Tue Aug 01 2017 20:00:00 GMT-0400,11317.34,7.64%
Wed Aug 02 2017 20:00:00 GMT-0400,11419.5,0.90%
Thu Aug 03 2017 20:00:00 GMT-0400,11970.42,4.82%
Fri Aug 04 2017 20:00:00 GMT-0400,12146.08,1.47%
Sat Aug 05 2017 20:00:00 GMT-0400,13311.69,9.60%
Sun Aug 06 2017 20:00:00 GMT-0400,13289.26,-0.17%
Mon Aug 07 2017 20:00:00 GMT-0400,13722.81,3.26%
Tue Aug 08 2017 20:00:00 GMT-0400,14013.88,2.12%
Wed Aug 09 2017 20:00:00 GMT-0400,13846.3,-1.20%
Thu Aug 10 2017 20:00:00 GMT-0400,13793.84,-0.38%
Fri Aug 11 2017 20:00:00 GMT-0400,14139.61,2.51%
Sat Aug 12 2017 20:00:00 GMT-0400,13658.99,-3.40%
Sun Aug 13 2017 20:00:00 GMT-0400,13049.19,-4.46%
Mon Aug 14 2017 20:00:00 GMT-0400,12574.52,-3.64%
Tue Aug 15 2017 20:00:00 GMT-0400,12789.5,1.71%
Wed Aug 16 2017 20:00:00 GMT-0400,12809.74,0.16%
Thu Aug 17 2017 20:00:00 GMT-0400,12125.55,-5.34%
Fri Aug 18 2017 20:00:00 GMT-0400,11383.99,-6.12%
Sat Aug 19 2017 20:00:00 GMT-0400,11917.18,4.68%
Sun Aug 20 2017 20:00:00 GMT-0400,13016.76,9.23%
Mon Aug 21 2017 20:00:00 GMT-0400,12363.33,-5.02%
Tue Aug 22 2017 20:00:00 GMT-0400,12373.79,0.08%
Wed Aug 23 2017 20:00:00 GMT-0400,12759.35,3.12%
Thu Aug 24 2017 20:00:00 GMT-0400,13610.87,6.67%
Fri Aug 25 2017 20:00:00 GMT-0400,14027.52,3.06%
Sat Aug 26 2017 20:00:00 GMT-0400,15549.09,10.85%
Sun Aug 27 2017 20:00:00 GMT-0400,15920.2,2.39%
Mon Aug 28 2017 20:00:00 GMT-0400,16028.04,0.68%
Tue Aug 29 2017 20:00:00 GMT-0400,16233.69,1.28%
Wed Aug 30 2017 20:00:00 GMT-0400,16572.86,2.09%
Thu Aug 31 2017 20:00:00 GMT-0400,17240,4.03%
Fri Sep 01 2017 20:00:00 GMT-0400,17987.12,4.33%
Sat Sep 02 2017 20:00:00 GMT-0400,15936.17,-11.40%
Sun Sep 03 2017 20:00:00 GMT-0400,16041.33,0.66%
Mon Sep 04 2017 20:00:00 GMT-0400,13241.23,-17.46%
Tue Sep 05 2017 20:00:00 GMT-0400,14389.63,8.67%
Wed Sep 06 2017 20:00:00 GMT-0400,15521.4,7.87%
Thu Sep 07 2017 20:00:00 GMT-0400,16144.21,4.01%
Fri Sep 08 2017 20:00:00 GMT-0400,14393.31,-10.85%
Sat Sep 09 2017 20:00:00 GMT-0400,14518.6,0.87%
Sun Sep 10 2017 20:00:00 GMT-0400,13898.54,-4.27%
Mon Sep 11 2017 20:00:00 GMT-0400,14275.29,2.71%
Tue Sep 12 2017 20:00:00 GMT-0400,14257.9,-0.12%
Wed Sep 13 2017 20:00:00 GMT-0400,13206.84,-7.37%
Thu Sep 14 2017 20:00:00 GMT-0400,9990.11,-24.36%
Fri Sep 15 2017 20:00:00 GMT-0400,11702.17,17.14%
Sat Sep 16 2017 20:00:00 GMT-0400,11430.11,-2.32%
Sun Sep 17 2017 20:00:00 GMT-0400,11359.71,-0.62%
Mon Sep 18 2017 20:00:00 GMT-0400,12971.76,14.19%
Tue Sep 19 2017 20:00:00 GMT-0400,11878.97,-8.42%
Wed Sep 20 2017 20:00:00 GMT-0400,11597.22,-2.37%
Thu Sep 21 2017 20:00:00 GMT-0400,10254.59,-11.58%
Fri Sep 22 2017 20:00:00 GMT-0400,10646.01,3.82%
Sat Sep 23 2017 20:00:00 GMT-0400,11314.87,6.28%
Sun Sep 24 2017 20:00:00 GMT-0400,10991.26,-2.86%
Mon Sep 25 2017 20:00:00 GMT-0400,12016.32,9.33%
Tue Sep 26 2017 20:00:00 GMT-0400,12045.79,0.25%
Wed Sep 27 2017 20:00:00 GMT-0400,13234.11,9.86%
Thu Sep 28 2017 20:00:00 GMT-0400,13287.68,0.40%
Fri Sep 29 2017 20:00:00 GMT-0400,12795.93,-3.70%
Sat Sep 30 2017 20:00:00 GMT-0400,13112.58,2.47%
Sun Oct 01 2017 20:00:00 GMT-0400,12843.07,-2.06%
Mon Oct 02 2017 20:00:00 GMT-0400,12324.94,-4.03%
Tue Oct 03 2017 20:00:00 GMT-0400,12108.51,-1.76%
Wed Oct 04 2017 20:00:00 GMT-0400,11607.85,-4.13%
Thu Oct 05 2017 20:00:00 GMT-0400,11802.25,1.67%
Fri Oct 06 2017 20:00:00 GMT-0400,11888.48,0.73%
