,Date,btc future last px,brr last px,log return future,log return bitcoin
653,2019-10-15,8170.0,8295.55,-0.022391253175445512,0.0019173216952060783
654,2019-10-14,8355.0,8279.66,0.0,-0.005570434449853615
658,2019-10-11,8355.0,8325.91,-0.028320476787455497,-0.021582840766711103
659,2019-10-10,8595.0,8507.56,-0.005800480300441236,0.014757684580457316
660,2019-10-09,8645.0,8382.93,0.056512210263342404,0.022603731004792557
661,2019-10-08,8170.0,8195.57,-0.010350168500179831,0.004923289350104916
662,2019-10-07,8255.0,8155.32,0.0036407807206558424,-0.0012891242358853668
666,2019-10-04,8225.0,8165.84,0.00793412767542003,0.00233806959000289
667,2019-10-03,8160.0,8146.77,-0.0133903400595843,-0.010640677808801015
668,2019-10-02,8270.0,8233.92,-0.006628526830907584,-0.015381609121447714
669,2019-10-01,8325.0,8361.55,-0.0012004803362497818,0.02546025890240748
670,2019-09-30,8335.0,8151.35,0.040522099481270286,0.018184671372624448
674,2019-09-27,8004.0,8004.46,-0.017462825332521522,-0.03135305933490386
675,2019-09-26,8145.0,8259.4,-0.024857296808755643,-0.018468972902638645
676,2019-09-25,8350.0,8413.36,-0.0035863756312275773,-0.12571973558706792
677,2019-09-24,8380.0,9540.45,-0.15704454515431793,-0.032810616919091165
678,2019-09-23,9805.0,9858.67,-0.03753255147406714,-0.031032923533480007
682,2019-09-20,10180.0,10169.41,0.0024588160900287748,0.030790526704344776
683,2019-09-19,10155.0,9861.06,-0.004911601229460099,-0.03176356095722212
684,2019-09-18,10205.0,10179.31,-0.009751418080614211,-0.0016000066235708204
685,2019-09-17,10305.0,10195.61,0.016634434438458915,0.0055984369924543045
686,2019-09-16,10135.0,10138.69,-0.01274527056693358,-0.01632184586826339
690,2019-09-13,10265.0,10305.53,-0.01402683215598057,-8.053604016402181e-05
691,2019-09-12,10410.0,10306.36,0.02775926963427478,0.028757094656588156
692,2019-09-11,10125.0,10014.2,0.006440448321009744,-0.01973957758145878
693,2019-09-10,10060.0,10213.84,-0.03034985756984284,-0.012167882669931194
694,2019-09-09,10370.0,10338.88,-0.008641436395340917,-0.05082901642696202
698,2019-09-06,10460.0,10877.98,-0.015651256173703706,0.028804966656376458
699,2019-09-05,10625.0,10569.11,-0.019571920177841866,0.013439181786708852
700,2019-09-04,10835.0,10428.02,0.003235500858148279,-0.0268215166924109
701,2019-09-03,10800.0,10711.5,0.11945109275708042,0.11122706293345802
706,2019-08-30,9584.0,9583.96,0.008277065432700964,0.015834284647759968
707,2019-08-29,9505.0,9433.4,-0.014621670417299936,-0.07674095565529604
708,2019-08-28,9645.0,10185.83,-0.0525108007226176,0.0026473701767872784
709,2019-08-27,10165.0,10158.9,-0.016101836051237276,-0.01651429440507723
710,2019-08-26,10330.0,10328.06,-0.012506175505229665,-0.0071115209964462515
714,2019-08-23,10460.0,10401.77,0.026642408958007607,0.030515394980563458
715,2019-08-22,10185.0,10089.15,0.006896579059060459,0.008889496097343404
716,2019-08-21,10115.0,9999.86,-0.06320916537010271,-0.06098303318629932
717,2019-08-20,10775.0,10628.66,0.0027881058953378,-0.009035459870396355
718,2019-08-19,10745.0,10725.13,0.021637720939810673,0.058463348912155925
721,2019-08-16,10515.0,10116.08,0.037301490894071185,0.009893502154230788
722,2019-08-15,10130.0,10016.49,-0.0029571238897438154,-0.04517487343948321
723,2019-08-14,10160.0,10479.36,-0.07442428882449043,-0.04576304698014096
724,2019-08-13,10945.0,10970.07,-0.054668132269405104,-0.03574872371932327
725,2019-08-12,11560.0,11369.33,-0.03276191753354148,-0.03285811401524255
729,2019-08-09,11945.0,11749.11,0.021579005293795896,0.005160063075513414
730,2019-08-08,11690.0,11688.64,-0.01654332532818016,-0.031337290182035
731,2019-08-07,11885.0,12060.73,0.004638422821861939,0.027132649327622424
732,2019-08-06,11830.0,11737.89,-0.006739705376913278,-0.0039350345776288116
733,2019-08-05,11910.0,11784.17,0.11652438224918721,0.11089952790500672
737,2019-08-02,10600.0,10547.17,0.014252022707201413,0.051698723509727394
738,2019-08-01,10450.0,10015.75,0.03258250779111122,0.0037370993181530705
739,2019-07-31,10115.0,9978.39,0.03829183179554588,0.04250458396543892
740,2019-07-30,9735.0,9563.15,0.021282921158052262,0.003980451926801491
741,2019-07-29,9530.0,9525.16,-0.024155012577423654,-0.024712175478630794
745,2019-07-26,9763.0,9763.48,-0.010393409231044273,-0.022710447817652253
746,2019-07-25,9865.0,9987.75,0.02307203085212434,0.020037722887231407
747,2019-07-24,9640.0,9789.61,-0.051552596865342096,-0.01652124720984855
748,2019-07-23,10150.0,9952.69,0.0004927322100183467,-0.045033520326696955
749,2019-07-22,10145.0,10411.14,-0.03057748535899873,0.0061353077522982085
753,2019-07-19,10460.0,10347.46,-0.008567401285298638,0.0612579487160219
754,2019-07-18,10550.0,9732.62,0.07425380852557134,0.011604562625655157
755,2019-07-17,9795.0,9620.33,0.006658155198590308,-0.08312141769639712
756,2019-07-16,9730.0,10454.16,-0.1144659036470658,-0.006851251693065349
757,2019-07-15,10910.0,10526.03,-0.07246986282040459,-0.10554442373926187
761,2019-07-12,11730.0,11697.74,0.0,-0.0026465792636922317
762,2019-07-11,11730.0,11728.74,-0.045007596057435956,-0.09179250138302067
763,2019-07-10,12270.0,12856.31,-0.0391580191938237,0.03820249461113194
764,2019-07-09,12760.0,12374.43,0.02499634209708853,0.03977138707342597
765,2019-07-08,12445.0,11891.94,0.09784452555005635,0.05001443105598971
769,2019-07-05,11285.0,11311.8,-0.007503897492945706,-0.004288955782094562
771,2019-07-03,11370.0,11360.42,0.03399253934691464,0.10785943510234702
772,2019-07-02,10990.0,10198.86,0.057586702298767965,-0.028649682949634422
773,2019-07-01,10375.0,10495.28,-0.12564495457498667,-0.1141005371735148
777,2019-06-28,11764.0,11763.79,0.08041821736149352,0.009534598910208789
778,2019-06-27,10855.0,11652.16,-0.24618331742850771,-0.09767557148848527
779,2019-06-26,13885.0,12847.73,0.19895169206057808,0.12738701802451172
780,2019-06-25,11380.0,11311.05,0.038974697723358584,0.037909475738711576
781,2019-06-24,10945.0,10890.28,0.09229964065145367,0.10677480412534442
785,2019-06-21,9980.0,9787.4,0.03621921014952476,0.04691807982191557
786,2019-06-20,9625.0,9338.8,0.044074029906632464,0.02565173411282806
787,2019-06-19,9210.0,9102.29,0.010368442136589011,-0.004481122252593126
788,2019-06-18,9115.0,9143.17,-0.02865835488750691,-0.019929854431967133
789,2019-06-17,9380.0,9327.22,0.10559745441026755,0.10420780577529007
793,2019-06-14,8440.0,8404.18,0.018535657729339555,0.029596557976189063
794,2019-06-13,8285.0,8159.09,0.010922438682733251,0.01936865346150989
795,2019-06-12,8195.0,8002.58,0.03413300636945862,0.026148077219410797
796,2019-06-11,7920.0,7796.04,-0.011299555253933394,-0.020441158934518158
797,2019-06-10,8010.0,7957.04,0.0,-0.0013174611957866864
801,2019-06-07,8010.0,7967.53,0.05122758920667338,0.03573077054306086
802,2019-06-06,7610.0,7687.87,-0.02913770393438968,-0.006098793637514632
803,2019-06-05,7835.0,7734.9,0.027168553314508886,-0.03027563299460302
804,2019-06-04,7625.0,7972.66,-0.12497026032248894,-0.05862269632807236
805,2019-06-03,8640.0,8454.01,0.026505597647635028,0.004722507159840211
809,2019-05-31,8414.0,8414.18,-0.024188099507272603,-0.03605400870966724
810,2019-05-30,8620.0,8723.08,-0.008087854601698892,0.0005894150856780311
811,2019-05-29,8690.0,8717.94,-0.001724633942851656,0.00387308281228609
812,2019-05-28,8705.0,8684.24,0.0738870801910822,0.07971736271842805
817,2019-05-24,8085.0,8018.83,0.03460552917747552,0.038156934368189004
818,2019-05-23,7810.0,7718.62,-0.01776696481464593,-0.019663864836075087
819,2019-05-22,7950.0,7871.9,-0.012500162764231494,-0.006538619244871901
820,2019-05-21,8050.0,7923.54,0.02515855963615493,0.020827391353381547
821,2019-05-20,7850.0,7760.22,0.08921414873418418,0.0744103487068333
825,2019-05-17,7180.0,7203.74,-0.09239380165156394,-0.0972890098998076
826,2019-05-16,7875.0,7939.81,-0.04348511193973878,-0.0032065173791487453
827,2019-05-15,8225.0,7965.31,0.05562195846113534,-0.014995022711336917
828,2019-05-14,7780.0,8085.65,-0.021615590475940295,0.08139509007257775
829,2019-05-13,7950.0,7453.59,0.2223576966568706,0.1758311718648455
832,2019-05-10,6365.0,6251.77,0.048279689613356346,0.04020389401723955
833,2019-05-09,6065.0,6005.41,0.027582191484339744,0.025911423413632784
834,2019-05-08,5900.0,5851.8,0.00936575598764209,0.0006803640038783565
835,2019-05-07,5845.0,5847.82,0.017256683623312744,0.034512517018127985
836,2019-05-06,5745.0,5649.44,0.013140793561058328,-0.01773907720691356
840,2019-05-03,5670.0,5750.55,0.050643732818754936,0.06785511854706952
841,2019-05-02,5390.0,5373.29,0.016838564362829742,0.01568452178989767
842,2019-05-01,5300.0,5289.67,0.01329554248124472,0.005117359547086934
843,2019-04-30,5230.0,5262.67,0.017358198609757732,0.020297061331250445
844,2019-04-29,5140.0,5156.93,-0.0042710218293484205,-0.0010485238772988542
848,2019-04-26,5162.0,5162.34,-0.06160415422501708,-0.05344185028007986
849,2019-04-25,5490.0,5445.73,0.01006873494826658,-0.002430143767374724
850,2019-04-24,5435.0,5458.98,-0.02811976659383504,-0.021320898976528935
851,2019-04-23,5590.0,5576.62,0.03550668845690982,0.048861087780025875
852,2019-04-22,5395.0,5310.69,0.018709619656728238,0.012377894024933792
