;Date;Last Px;Open Px;Volume;High Px;Low Px;;Contracts;;
Fr;10/25/2019;8785;7495;760;8940;7485;;;;
Th;10/24/2019;7530;7500;228;7540;7415;;;;
We;10/23/2019;7535;8210;463;8210;7325;;;;
Tu;10/22/2019;8285;8350;21;8350;8235;;;;
Mo;10/21/2019;8310;8355;70;8430;8280;;;;
;;0;;;;;;;;
Fr;10/18/2019;8045;8185;147;8185;7930;;;;
Th;10/17/2019;8155;8120;42;8205;8025;;;;
We;10/16/2019;8040;8290;120;8290;8015;;;;
Tu;10/15/2019;8285;8470;7;8470;8260;;;;
Mo;10/14/2019;8470;8400;15;8470;8385;;;;
;;0;;;;;;;;
Fr;11/10/2019;8465;8630;38;8815;8400;;;;
Th;10/10/2019;8705;8705;94;8780;8570;;;;
We;9/10/2019;8740;8300;178;8865;8265;;;;
Tu;8/10/2019;8270;8345;86;8460;8250;;;;
Mo;7/10/2019;8330;8095;105;8400;7880;;;;
;;0;;;;;;;;
Fr;4/10/2019;8290;8165;7;8275;8130;;;;
Th;3/10/2019;8245;8340;33;8340;8180;;;;
We;2/10/2019;8355;8415;33;8415;8280;;;;
Tu;1/10/2019;8400;8370;67;8635;8320;;;;
Mo;09/30/2019;8405;8185;146;8460;7800;;;;
;;0;;;;;;;;
Fr;09/27/2019;8004;8085;447;8140;7940;;;;
Th;09/26/2019;8145;8515;5369;8670;7710;;;;
We;09/25/2019;8350;8670;5824;8785;8205;;;;
Tu;09/24/2019;8380;9770;10527;9780;7995;;;;
Mo;09/23/2019;9805;10125;4645;10125;9690;;;;
;;0;;;;;;;;
Fr;09/20/2019;10180;10155;2400;10355;10095;;;;
Th;09/19/2019;10155;10315;4344;10450;9605;;;;
We;09/18/2019;10205;10250;1581;10310;10120;;;;
Tu;09/17/2019;10305;10305;1583;10405;10185;;;;
Mo;09/16/2019;10135;10335;2313;10430;10105;;;;
;;0;;;;;;;;
Fr;09/13/2019;10265;10480;2876;10560;10205;;;;
Th;12/9/2019;10410;10160;3099;10470;10085;;;;
We;11/9/2019;10125;10145;3528;10345;9900;;;;
Tu;10/9/2019;10060;10360;3400;10455;9945;;;;
Mo;9/9/2019;10370;10490;3966;10620;10115;;;;
;;0;;;;;;;;
Fr;6/9/2019;10460;10635;6764;11130;10230;;;;
