,file,risk measure,OHR,copula
142,10.csv,ES q=0.05,1.023828125,t_Copula_Capped
143,10.csv,ES q=0.05,0.7890624999999999,Clayton
144,10.csv,ES q=0.05,0.996484375,Frank
145,10.csv,ES q=0.05,1.2022460937500008,Gumbel
146,10.csv,ES q=0.05,0.91591796875,Plackett
147,10.csv,ES q=0.05,1.01669921875,Gauss Mix Indep
148,10.csv,ES q=0.05,0.8787109374999997,rotGumbel
149,10.csv,ES q=0.05,0.9988602573174832,NIG
150,10.csv,VaR q=0.01,1.0315429687500002,Gaussian
151,10.csv,VaR q=0.01,1.0234375,t_Copula
152,10.csv,VaR q=0.01,1.0494140625,t_Copula_Capped
153,10.csv,VaR q=0.01,0.7246093749999998,Clayton
154,10.csv,VaR q=0.01,0.979296875,Frank
155,10.csv,VaR q=0.01,1.3351562500000007,Gumbel
156,10.csv,VaR q=0.01,0.8734374999999999,Plackett
157,10.csv,VaR q=0.01,1.03125,Gauss Mix Indep
158,10.csv,VaR q=0.01,0.9068359375,rotGumbel
159,10.csv,VaR q=0.01,0.9432536097985452,NIG
160,10.csv,VaR q=0.05,0.88984375,Gaussian
161,10.csv,VaR q=0.05,0.8940429687500001,t_Copula
162,10.csv,VaR q=0.05,0.8734374999999999,t_Copula_Capped
163,10.csv,VaR q=0.05,0.844140625,Clayton
164,10.csv,VaR q=0.05,0.97001953125,Frank
165,10.csv,VaR q=0.05,1.01279296875,Gumbel
166,10.csv,VaR q=0.05,0.8863281249999999,Plackett
167,10.csv,VaR q=0.05,0.899609375,Gauss Mix Indep
168,10.csv,VaR q=0.05,0.8517578124999998,rotGumbel
169,10.csv,VaR q=0.05,0.8795449661751449,NIG
170,10.csv,Variance,1.03662109375,Gaussian
171,10.csv,Variance,1.034375,t_Copula
172,10.csv,Variance,1.03427734375,t_Copula_Capped
173,10.csv,Variance,0.98125,Clayton
174,10.csv,Variance,1.01318359375,Frank
175,10.csv,Variance,1.01640625,Gumbel
176,10.csv,Variance,0.972265625,Plackett
177,10.csv,Variance,1.0224609374999998,Gauss Mix Indep
178,10.csv,Variance,1.017578125,rotGumbel
179,10.csv,Variance,1.016610916653815,NIG
180,100.csv,ERM k=10,1.1944335937500004,Gaussian
181,100.csv,ERM k=10,1.1904296875000004,t_Copula
182,100.csv,ERM k=10,1.1904296875000004,t_Copula_Capped
183,100.csv,ERM k=10,1.1551757812500003,Clayton
184,100.csv,ERM k=10,1.2263671875000004,Frank
185,100.csv,ERM k=10,1.359765625000001,Gumbel
186,100.csv,ERM k=10,1.1645507812500004,Plackett
