,Date,CRIX,future,log return CRIX,log return future
531,2018-12-26 00:00:00+00:00,9484.603738,3775.0,-0.04195332527593499,-0.04531519621204249
532,2018-12-24 00:00:00+00:00,9890.979202,3950.0,0.002313867635504982,-0.022529113060028222
533,2018-12-21 00:00:00+00:00,9868.119243,4040.0,0.09971631094124245,0.09469155930825864
534,2018-12-20 00:00:00+00:00,8931.576968,3675.0,0.008179031915793052,0.03460552917747552
535,2018-12-19 00:00:00+00:00,8858.823248,3550.0,0.05054516595845172,0.02135312447056906
536,2018-12-18 00:00:00+00:00,8422.180602,3475.0,0.0983131762336523,0.08871328222467002
537,2018-12-17 00:00:00+00:00,7633.569783,3180.0,-0.021899258824933977,-0.017147731160778393
538,2018-12-14 00:00:00+00:00,7802.583183,3235.0,-0.04111813016445374,-0.04827483305779562
539,2018-12-13 00:00:00+00:00,8130.098071,3395.0,0.017906192594621104,0.014837067430467574
540,2018-12-12 00:00:00+00:00,7985.814608,3345.0,-0.016583897541459898,-0.010409015914735639
541,2018-12-11 00:00:00+00:00,8119.354787,3380.0,-0.03636994070891879,-0.03345766619084613
542,2018-12-10 00:00:00+00:00,8420.090968,3495.0,0.025039592043422557,-0.02263180046019744
543,2018-12-07 00:00:00+00:00,8211.87305,3575.0,-0.09465458318711478,-0.02622648592050792
544,2018-12-06 00:00:00+00:00,9027.140252,3670.0,-0.052499562860450655,-0.07352391684655164
545,2018-12-05 00:00:00+00:00,9513.722081,3950.0,0.010148841297584036,0.011457795621381137
546,2018-12-04 00:00:00+00:00,9417.657124,3905.0,-0.060355212750132135,-0.0462871867630611
547,2018-12-03 00:00:00+00:00,10003.56528,4090.0,-0.03410275672347088,-0.027729323370201047
548,2018-11-30 00:00:00+00:00,10350.59819,4205.0,-0.010849143791053843,0.009558017806105362
549,2018-11-29 00:00:00+00:00,10463.50468,4165.0,0.09944593690723424,0.09831589291781798
550,2018-11-28 00:00:00+00:00,9473.017754,3775.0,0.0013611187502054916,0.011992149045263752
551,2018-11-27 00:00:00+00:00,9460.132623,3730.0,-0.05176675436415959,-0.06361651445057104
552,2018-11-26 00:00:00+00:00,9962.750187,3975.0,-0.08457514504528042,-0.12071374740446426
553,2018-11-23 00:00:00+00:00,10842.0089,4485.0,-0.017066376060086777,0.06446420208584812
554,2018-11-21 00:00:00+00:00,11028.63065,4205.0,-0.1952846877884673,-0.11553450617255262
555,2018-11-20 00:00:00+00:00,13407.03227,4720.0,-0.052978834509008484,-0.14838347610510053
556,2018-11-19 00:00:00+00:00,14136.47307,5475.0,-0.013776685081812257,0.010096460251009595
557,2018-11-16 00:00:00+00:00,14332.57452,5420.0,-0.01190646625376815,-0.00918280098233498
558,2018-11-15 00:00:00+00:00,14504.2448,5470.0,-0.10281037709518136,-0.13649773821093944
559,2018-11-14 00:00:00+00:00,16074.78232,6270.0,-0.008585187582773058,0.0015961695328221347
560,2018-11-13 00:00:00+00:00,16213.38144,6260.0,-0.0014857896933550517,-0.015848192240023616
561,2018-11-12 00:00:00+00:00,16237.48902,6360.0,-0.010310417770980495,-0.006269613013595374
562,2018-11-09 00:00:00+00:00,16405.77035,6400.0,-0.023083297639247605,-0.016273121598842477
563,2018-11-08 00:00:00+00:00,16788.87427,6505.0,0.002251824825083649,0.01159657371494061
