coin,weight
trc,5.900042823661415e-06
trig,1.5851387130926784e-05
trk,2.7357803800803467e-06
troll,2.5492307448911945e-06
trump,3.5233884843616034e-05
tx,2.759078147859981e-06
uis,1.6374291755019676e-06
unity,0.00012800040992187479
uno,1.533143883352542e-05
vash,6.111309699572862e-05
via,4.632709474695215e-05
vrc,5.250462654246769e-05
vrm,3.459797295033124e-06
vrs,8.847934553852058e-05
vsl,0.00010201054786069355
vtc,7.432993827814809e-05
waves,0.0011760635612793255
wex,4.703769397510052e-06
xaur,0.0003989356838818341
xbc,1.560640416036198e-05
xcn,6.830844975779586e-06
xcp,0.00043491978182143694
xdn,3.8661043837755564e-05
xem,0.003006975290207911
xhi,3.983995803596586e-05
xlm,0.0007357125330239985
xmg,9.475382238670594e-06
xmr,0.008814188367833558
xpm,4.3501366037341966e-05
xre,5.731566699845253e-07
xrp,0.011207370763698068
xsd,3.637188533111621e-05
xspec,2.3279088206354596e-05
xst,6.277361288978719e-06
xvg,1.4100900540792023e-05
xvp,8.342505757979519e-06
xwc,4.370418900283954e-06
xzc,9.547801777724319e-05
yash,6.347645934315474e-07
ybct,0.00020129944431080527
yoc,5.108075450001164e-05
zcc,1.536205971783137e-05
zcl,2.4784746406185857e-05
zec,0.0011331568483204156
zeit,1.1857199495845303e-05
zet,1.632380268057292e-05
zne,1.8480796554217862e-07
zny,2.89944437206728e-07
