;Date;Open;High ;Low;Close;;
Fr;07/19/2019;10635;10845;10130;10460;3565;3798
Th;07/18/2019;9825;10825;9345;10550;3760;3595
We;07/17/2019;9695;10025;9095;9795;3861;3461
Tu;07/16/2019;10840;11155;9460;9730;3853;3361
Mo;07/15/2019;10945;11040;9915;10910;3972;3311
;;;;;;;
Fr;07/12/2019;11405;12005;11195;11730;4003;3284
Th;07/11/2019;12130;12385;11045;11730;4067;3251
We;07/10/2019;12825;13480;11760;12270;4147;3198
Tu;07/09/2019;12530;13115;12330;12760;4406;3139
Mo;07/08/2019;11630;12525;11500;12445;4287;3078
;;;;;;;
Fr;07/05/2019;11485;12230;10910;11285;4072;3003
We;07/03/2019;10890;11765;10855;11370;4103;2950
Tu;07/02/2019;10685;11120;9805;10990;4268;2893
Mo;07/01/2019;11505;11505;10150;10375;4222;2814
;;;;;;;
Fr;06/28/2019;10865;12020;10815;11764;377;2744
Th;06/27/2019;12500;13340;10285;10855;534;2940
We;06/26/2019;11520;13915;11520;13885;1739;3113
Tu;06/25/2019;11035;11525;11010;11380;2366;3223
Mo;06/24/2019;10925;11160;10615;10945;3096;3292
;;;;;;;
Fr;06/21/2019;9615;10060;9560;9980;3572;3321
Th;06/20/2019;9320;9705;9260;9625;3516;3106
We;06/19/2019;9020;9255;8985;9210;3259;2908
Tu;06/18/2019;9365;9575;8985;9115;3263;2778
Mo;06/17/2019;9065;9495;9055;9380;3495;2707
;;;;;;;
Fr;06/14/2019;8365;8515;8215;8440;3164;2655
Th;06/13/2019;8180;8330;8070;8285;3278;2625
We;06/12/2019;7930;8340;7830;8195;3240;2587
Tu;06/11/2019;7980;8085;7720;7920;3084;2558
Mo;06/10/2019;7675;8115;7515;8010;3171;2539
;;;;;;;
Fr;06/07/2019;7765;8175;7740;8010;3319;2508
Th;06/06/2019;7745;7915;7460;7610;3139;2473
We;06/05/2019;7525;7970;7435;7835;3383;2446
Tu;06/04/2019;8560;8565;7515;7625;3394;2398
Mo;06/03/2019;8730;8865;8385;8640;3531;2370
;;;;;;;
Fr;05/31/2019;8290;8440;8100;8414;354;2314
Th;05/30/2019;8660;9125;8345;8620;544;2483
We;05/29/2019;8730;8775;8420;8690;1312;2629
Tu;05/28/2019;8660;9035;8550;8705;2197;2725
;;;;;;;
Fr;05/24/2019;7845;8230;7815;8085;2717;2756
Th;05/23/2019;7685;7895;7485;7810;2716;2754
We;05/22/2019;8030;8075;7710;7950;2710;2744
Tu;05/21/2019;8065;8140;7840;8050;2798;2727
Mo;05/20/2019;8075;8380;7620;7850;2805;2706
;;;;;;;
Fr;05/17/2019;7940;7990;6320;7180;2704;2682
Th;05/16/2019;8185;8445;7725;7875;2788;2528
We;05/15/2019;7815;8300;7815;8225;2740;2385
Tu;05/14/2019;8145;8385;7630;7780;2654;2284
Mo;05/13/2019;7150;8030;6870;7950;2982;2229
;;;;;;;
Fr;05/10/2019;6125;6430;6110;6365;2691;2182
Th;05/09/2019;5905;6120;5850;6065;2888;2169
We;05/08/2019;5885;5915;5640;5900;2740;2143
Tu;05/07/2019;5700;5985;5685;5845;2750;2128
Mo;05/06/2019;5735;5795;5565;5745;2652;2114
;;;;;;;
Fr;05/03/2019;5390;5800;5355;5670;2692;2116
Th;05/02/2019;5285;5415;5280;5390;2568;2117
We;05/01/2019;5250;5350;5250;5300;2447;2135
Tu;04/30/2019;5140;5285;5090;5230;2495;2154
Mo;04/29/2019;5095;5185;5070;5140;2434;2175
;;;;;;;
Fr;04/26/2019;5400;5400;4945;5162;394;2185
Th;04/25/2019;5440;5510;5380;5490;649;2321
We;04/24/2019;5580;5625;5370;5435;1231;2451
Tu;04/23/2019;5400;5665;5375;5590;1819;2521
Mo;04/22/2019;5275;5450;5255;5395;2283;2569
;;;;;;;
Th;04/18/2019;5230;5325;5205;5295;2500;2431
We;04/17/2019;5215;5285;5185;5235;2496;2294
Tu;04/16/2019;5030;5235;5025;5200;2517;2175
Mo;04/15/2019;5110;5200;4945;5010;2529;2095
;;;;;;;
Fr;04/12/2019;5030;5125;4900;5065;2682;2042
Th;04/11/2019;5300;5355;4965;5075;2706;1998
We;04/10/2019;5220;5480;5160;5415;2843;1963
Tu;04/09/2019;5290;5320;5150;5220;2736;1927
Mo;04/08/2019;5165;5370;5130;5210;2806;1899
;;;;;;;
Fr;04/05/2019;4935;5070;4890;5020;2589;1868
Th;04/04/2019;5210;5275;4780;4840;2430;1853
We;04/03/2019;4810;5325;4810;5150;2605;1849
Tu;04/02/2019;4135;5095;4130;4775;2269;1842
Mo;04/01/2019;4090;4145;4040;4125;2550;1854
;;;;;;;
Fr;03/29/2019;4005;4100;4000;4079;212;1846
Th;03/28/2019;4010;4035;3995;4010;445;2002
We;03/27/2019;3905;4035;3905;4005;699;2144
Tu;03/26/2019;3885;3915;3880;3905;1317;2255
Mo;03/25/2019;3965;3970;3845;3895;1744;2330
;;;;;;;
Fr;03/22/2019;3970;3995;3955;3980;2021;2371
Th;03/21/2019;4015;4060;3900;3965;2186;2398
We;03/20/2019;3990;4020;3965;4010;2290;2420
Tu;03/19/2019;3970;4015;3950;3995;2324;2443
Mo;03/18/2019;3965;4025;3935;3960;2343;2466
;;;;;;;
Fr;03/15/2019;3850;3910;3845;3900;2366;2500
Th;03/14/2019;3840;3905;3775;3845;2362;2362
We;03/13/2019;3855;3870;3820;3845;2496;2230
Tu;03/12/2019;3845;3880;3790;3845;2455;2130
Mo;03/11/2019;3885;3915;3810;3835;2428;2075
;;;;;;;
Fr;03/08/2019;3905;3920;3845;3890;2551;2059
Th;03/07/2019;3855;3890;3830;3870;2571;2037
We;03/06/2019;3835;3900;3810;3840;2370;2017
Tu;03/05/2019;3675;3865;3655;3835;2436;2019
Mo;03/04/2019;3780;3795;3660;3690;2368;2015
;;;;;;;
Fr;03/01/2019;3785;3830;3780;3820;2420;2054
Th;02/28/2019;3765;3875;3745;3790;2515;2112
We;02/27/2019;3780;3815;3620;3710;2636;2167
Tu;02/26/2019;3805;3820;3745;3775;2675;2202
Mo;02/25/2019;3770;3845;3705;3820;2847;2237
;;;;;;;
Fr;02/22/2019;3885;3955;3885;3931;294;2262
Th;02/21/2019;3920;3985;3855;3895;384;2459
We;02/20/2019;3910;3965;3870;3935;1002;2648
Tu;02/19/2019;3600;3970;3595;3935;1625;2806
;;;;;;;
Fr;02/15/2019;3565;3620;3545;3565;2198;2919
Th;02/14/2019;3575;3595;3530;3565;2214;2820
We;02/13/2019;3575;3630;3555;3570;2271;2736
Tu;02/12/2019;3595;3625;3550;3605;2400;2691
Mo;02/11/2019;3610;3650;3580;3605;2378;2713
;;;;;;;
Fr;02/08/2019;3350;3730;3325;3615;2955;2758
Th;02/07/2019;3345;3370;3335;3340;3293;2771
We;02/06/2019;3405;3420;3310;3340;3339;2763
Tu;02/05/2019;3390;3415;3380;3400;3162;2750
Mo;02/04/2019;3380;3415;3375;3395;3186;2737
;;;;;;;
Fr;02/01/2019;3385;3440;3345;3425;3233;2754
Th;01/31/2019;3420;3455;3365;3395;3249;2779
We;01/30/2019;3360;3435;3345;3410;3218;2772
Tu;01/29/2019;3385;3395;3300;3370;3366;2765
Mo;01/28/2019;3485;3515;3325;3380;3321;2748
;;;;;;;
Fr;01/25/2019;3560;3580;3510;3560;715;2728
Th;01/24/2019;3545;3590;3520;3565;950;2881
We;01/23/2019;3575;3615;3510;3535;1601;3010
Tu;01/22/2019;3525;3620;3390;3580;2732;3080
;;;;;;;
Fr;01/18/2019;3615;3630;3540;3585;3048;2936
Th;01/17/2019;3570;3645;3515;3605;3145;2791
We;01/16/2019;3550;3645;3545;3560;3174;2669
Tu;01/15/2019;3650;3665;3490;3535;3149;2589
Mo;01/14/2019;3490;3700;3400;3650;2965;2532
;;;;;;;
Fr;01/11/2019;3600;3685;3560;3635;3447;2538
Th;01/10/2019;3995;4020;3525;3605;3610;2523
We;01/09/2019;3990;4030;3950;3990;3132;2510
Tu;01/08/2019;3980;4095;3925;3985;3127;2547
Mo;01/07/2019;3990;4070;3945;3985;3111;2583
;;;;;;;
Fr;01/04/2019;3755;3875;3690;3745;3016;2616
Th;01/03/2019;3850;3870;3710;3760;3013;2648
We;01/02/2019;3720;3855;3685;3830;2874;2682
Mo;12/31/2018;3800;3810;3600;3650;2659;2727
;;;;;;;
Fr;12/28/2018;3560;3800;3560;3709;575;2793
Th;12/27/2018;3800;3840;3535;3565;863;2974
We;12/26/2018;3775;3850;3610;3760;1319;3114
Mo;12/24/2018;3950;4265;3925;4070;1979;3223
;;;;;;;
Fr;12/21/2018;4040;4135;3605;3775;2289;3290
Th;12/20/2018;3675;4150;3635;3875;3057;3164
We;12/19/2018;3550;3890;3550;3695;3218;3008
Tu;12/18/2018;3475;3560;3425;3495;3419;2878
Mo;12/17/2018;3180;3570;3165;3530;3680;2750
;;;;;;;
Fr;12/14/2018;3235;3265;3120;3145;3673;2616
Th;12/13/2018;3395;3420;3190;3215;3613;2524
We;12/12/2018;3345;3470;3305;3420;3483;2440
Tu;12/11/2018;3380;3405;3265;3320;3525;2378
Mo;12/10/2018;3495;3580;3330;3375;3550;2334
;;;;;;;
Fr;12/07/2018;3575;3595;3135;3300;3652;2297
Th;12/06/2018;3670;3960;3360;3600;3293;2242
We;12/05/2018;3950;3950;3590;3705;2963;2220
Tu;12/04/2018;3905;4015;3690;3840;2956;2217
Mo;12/03/2018;4090;4130;3690;3800;2977;2208
;;;;;;;
Fr;11/30/2018;4215;4280;3870;3953;398;2194
Th;11/29/2018;4195;4400;4075;4180;716;2353
We;11/28/2018;3790;4365;3750;4300;1274;2495
Tu;11/27/2018;3635;3790;3550;3720;1491;2570
Mo;11/26/2018;3965;4055;3515;3605;1670;2611
;;;;;;;
Fr;11/23/2018;4435;4565;4085;4190;2300;2637
We;11/21/2018;4230;4620;4165;4390;2351;2623
Tu;11/20/2018;4740;4870;4015;4240;2554;2604
Mo;11/19/2018;5500;5515;4560;4835;2866;2579
;;;;;;;
Fr;11/16/2018;5435;5550;5385;5450;2988;2522
Th;11/15/2018;5510;5590;5155;5425;2826;2349
We;11/14/2018;6290;6290;5230;5365;2966;2205
Tu;11/13/2018;6315;6325;6225;6285;2923;2099
Mo;11/12/2018;6290;6395;6290;6325;2818;2020
;;;;;;;
Fr;11/09/2018;6400;6415;6240;6335;2771;1958
Th;11/08/2018;6510;6525;6370;6410;2787;1914
We;11/07/2018;6430;6545;6430;6510;2839;1871
Tu;11/06/2018;6395;6475;6385;6415;2406;1827
Mo;11/05/2018;6400;6450;6365;6390;2105;1816
;;;;;;;
Fr;11/02/2018;6335;6375;6320;6345;2055;1830
Th;11/01/2018;6295;6335;6290;6315;2097;1853
We;10/31/2018;6255;6340;6170;6295;2056;1864
Tu;10/30/2018;6245;6290;6230;6245;2180;1893
Mo;10/29/2018;6390;6440;6185;6240;2011;1913
;;;;;;;
Fr;10/26/2018;6395;6455;6375;6392;400;1942
Th;10/25/2018;6420;6420;6315;6405;662;2063
We;10/24/2018;6395;6490;6380;6425;1370;2164
Tu;10/23/2018;6400;6425;6350;6395;1736;2212
Mo;10/22/2018;6415;6445;6360;6395;1894;2231
;;;;;;;
Fr;10/19/2018;6375;6405;6340;6380;2105;2241
Th;10/18/2018;6430;6480;6330;6390;2149;2117
We;10/17/2018;6445;6480;6400;6420;2172;2012
Tu;10/16/2018;6390;6495;6380;6420;2248;1927
Mo;10/15/2018;6165;6770;6110;6390;2322;1862
;;;;;;;
Fr;10/12/2018;6180;6225;6095;6185;2390;1806
Th;10/11/2018;6515;6535;6030;6180;2263;1782
We;10/10/2018;6580;6590;6450;6540;2500;1771
Tu;10/09/2018;6620;6620;6535;6580;2477;1749
Mo;10/08/2018;6530;6675;6515;6630;2438;1731
;;;;;;;
Fr;10/05/2018;6530;6580;6500;6530;2221;1720
Th;10/04/2018;6415;6610;6405;6555;2172;1729
We;10/03/2018;6510;6520;6345;6425;2090;1745
Tu;10/02/2018;6550;6585;6435;6510;2029;1761
Mo;10/01/2018;6560;6625;6455;6540;2033;1778
;;;;;;;
Fr;09/28/2018;6720;6800;6570;6648;250;1796
Th;09/27/2018;6460;6745;6415;6655;571;1928
We;09/26/2018;6385;6535;6365;6485;907;2030
Tu;09/25/2018;6605;6605;6315;6355;1262;2115
Mo;09/24/2018;6665;6720;6555;6610;1481;2179
;;;;;;;
Fr;09/21/2018;6470;6775;6455;6740;2034;2089
Th;09/20/2018;6365;6435;6310;6400;2098;1972
We;09/19/2018;6305;6535;6035;6375;2178;1868
Tu;09/18/2018;6210;6370;6180;6275;2194;1794
Mo;09/17/2018;6470;6525;6165;6230;2283;1743
;;;;;;;
Fr;09/14/2018;6450;6575;6330;6525;2354;1706
Th;09/13/2018;6295;6525;6295;6435;2417;1675
We;09/12/2018;6270;6335;6175;6290;2328;1641
Tu;09/11/2018;6260;6385;6120;6230;2277;1622
Mo;09/10/2018;6340;6350;6175;6265;2312;1609
;;;;;;;
Fr;09/07/2018;6410;6505;6280;6390;2218;1596
Th;09/06/2018;6925;6925;6215;6430;2101;1586
We;09/05/2018;7355;7395;6840;6900;2181;1588
Tu;09/04/2018;7260;7410;7190;7350;2227;1584
;;;;;;;
Fr;08/31/2018;6940;7025;6895;6926;132;1571
Th;08/30/2018;7045;7055;6795;6815;283;1696
We;08/29/2018;7100;7120;6890;7000;533;1812
Tu;08/28/2018;6720;7125;6715;7090;1063;1913
Mo;08/27/2018;6655;6760;6650;6730;1436;1975
;;;;;;;
Fr;08/24/2018;6460;6640;6450;6615;1730;2023
Th;08/23/2018;6350;6465;6225;6405;1886;2051
We;08/22/2018;6440;6870;6250;6405;1905;2063
Tu;08/21/2018;6395;6470;6205;6425;2051;2091
Mo;08/20/2018;6490;6515;6360;6430;2075;2110
;;;;;;;
Fr;08/17/2018;6265;6545;6245;6480;2123;2125
Th;08/16/2018;6400;6475;6185;6405;2071;2009
We;08/15/2018;6105;6600;6075;6375;2117;1908
Tu;08/14/2018;6240;6280;5850;6075;2122;1830
Mo;08/13/2018;6405;6555;6135;6230;2035;1784
;;;;;;;
Fr;08/10/2018;6555;6605;6105;6390;2017;1783
Th;08/09/2018;6300;6545;6170;6460;2013;1791
We;08/08/2018;6765;6785;6105;6330;2057;1801
Tu;08/07/2018;6845;7155;6825;6990;1993;1805
Mo;08/06/2018;7080;7140;6870;6920;2155;1813
;;;;;;;
Fr;08/03/2018;7525;7560;7270;7370;2144;1814
Th;08/02/2018;7460;7700;7430;7525;2069;1809
We;08/01/2018;7695;7760;7440;7545;2316;1806
Tu;07/31/2018;8120;8200;7640;7730;2338;1785
Mo;07/30/2018;8140;8265;7845;8100;2312;1768
;;;;;;;
Fr;07/27/2018;7960;8030;7790;7855;369;1759
Th;07/26/2018;8260;8310;8115;8275;566;1885
We;07/25/2018;8255;8490;8025;8145;943;1994
Tu;07/24/2018;7740;8365;7680;8260;1433;2070
Mo;07/23/2018;7380;7820;7335;7735;2024;2112
;;;;;;;
Fr;07/20/2018;7435;7700;7270;7340;2134;2108
Th;07/19/2018;7325;7510;7275;7450;2156;1986
We;07/18/2018;7385;7595;7240;7395;2127;1873
Tu;07/17/2018;6665;7470;6655;7305;2106;1780
Mo;07/16/2018;6370;6710;6320;6675;2168;1708
;;;;;;;
Fr;07/13/2018;6160;6340;6060;6165;2076;1658
Th;07/12/2018;6355;6365;6110;6160;2023;1650
We;07/11/2018;6355;6380;6245;6330;1998;1651
Tu;07/10/2018;6695;6785;6295;6355;2092;1659
Mo;07/09/2018;6745;6760;6645;6695;2172;1662
;;;;;;;
Fr;07/06/2018;6490;6640;6430;6565;2253;1668
Th;07/05/2018;6595;6795;6400;6505;2208;1674
We;07/04/2018;;;;;2075;1680
Tu;07/03/2018;6645;6660;6530;6580;2075;1703
Mo;07/02/2018;6275;6680;6260;6625;1956;1719
;;;;;;;
Fr;06/29/2018;5915;5945;5805;5886;306;1745
Th;06/28/2018;6140;6180;6025;6085;465;1887
We;06/27/2018;6210;6210;5975;6160;725;2020
Tu;06/26/2018;6255;6275;6120;6160;1029;2128
Mo;06/25/2018;6150;6345;6065;6245;1420;2217
;;;;;;;
Fr;06/22/2018;6705;6735;5960;6165;1950;2275
Th;06/21/2018;6705;6780;6670;6710;2036;2293
We;06/20/2018;6705;6815;6545;6745;2123;2312
Tu;06/19/2018;6710;6840;6650;6735;2135;2318
Mo;06/18/2018;6495;6785;6340;6695;2258;2324
;;;;;;;
Fr;06/15/2018;6670;6670;6440;6530;2348;2198
Th;06/14/2018;6275;6705;6250;6635;2294;2073
We;06/13/2018;6470;6620;6100;6270;2428;1973
Tu;06/12/2018;6770;6890;6425;6500;2305;1877
Mo;06/11/2018;7120;7120;6610;6750;2351;1806
;;;;;;;
Fr;06/08/2018;7670;7705;7540;7655;2432;1755
Th;06/07/2018;7695;7780;7640;7705;2460;1707
We;06/06/2018;7605;7695;7485;7540;2345;1666
Tu;06/05/2018;7515;7670;7360;7625;2363;1634
Mo;06/04/2018;7715;7900;7460;7500;2290;1609
;;;;;;;
Fr;06/01/2018;7550;7620;7300;7440;2223;1594
Th;05/31/2018;7335;7660;7335;7545;2328;1580
We;05/30/2018;7505;7620;7270;7320;2211;1556
Tu;05/29/2018;7365;7580;7050;7495;2218;1542
;;;;;;;
Fr;05/25/2018;7530;7650;7315;7494;371;1530
Th;05/24/2018;7620;7720;7230;7580;473;1643
We;05/23/2018;8050;8075;7425;7590;791;1740
Tu;05/22/2018;8345;8420;8070;8180;992;1801
Mo;05/21/2018;8525;8680;8320;8375;1239;1846
;;;;;;;
Fr;05/18/2018;8225;8275;7915;8230;1596;1878
Th;05/17/2018;8290;8460;8115;8180;1698;1782
We;05/16/2018;8475;8545;8115;8250;1852;1693
Tu;05/15/2018;8735;8850;8435;8555;1872;1609
Mo;05/14/2018;8660;8900;8285;8755;1984;1547
;;;;;;;
Fr;05/11/2018;9110;9125;8380;8625;2064;1489
Th;05/10/2018;9255;9415;9040;9090;2015;1452
We;05/09/2018;9185;9375;8955;9280;1964;1418
Tu;05/08/2018;9410;9490;9010;9235;1995;1392
Mo;05/07/2018;9605;9705;9160;9435;2043;1364
;;;;;;;
Fr;05/04/2018;9710;9840;9540;9670;2060;1340
Th;05/03/2018;9245;9805;9180;9675;1938;1319
We;05/02/2018;9070;9210;8985;9150;1709;1300
Tu;05/01/2018;9285;9315;8815;8985;1654;1292
Mo;04/30/2018;9375;9495;9140;9365;1723;1281
;;;;;;;
Fr;04/27/2018;9130;9375;9115;9231;160;1268
Th;04/26/2018;9170;9185;8635;8865;364;1357
We;04/25/2018;9480;9765;8755;8970;588;1434
Tu;04/24/2018;8965;9465;8920;9455;944;1495
Mo;04/23/2018;8910;9015;8775;8845;1117;1531
;;;;;;;
Fr;04/20/2018;8300;8585;8235;8540;1511;1548
Th;04/19/2018;8190;8315;8100;8260;1507;1472
We;04/18/2018;7870;8240;7860;8125;1574;1405
Tu;04/17/2018;8015;8180;7805;7885;1573;1349
Mo;04/16/2018;8005;8445;7880;7980;1676;1312
;;;;;;;
Fr;04/13/2018;7790;8235;7760;8105;1744;1270
Th;04/12/2018;6920;8105;6660;7680;1662;1229
We;04/11/2018;6860;6970;6785;6920;1582;1196
Tu;04/10/2018;6705;6880;6640;6840;1486;1173
Mo;04/09/2018;7025;7225;6605;6675;1527;1159
;;;;;;;
Fr;04/06/2018;6760;6890;6485;6630;1503;1141
Th;04/05/2018;6790;6925;6550;6760;1520;1125
We;04/04/2018;7430;7440;6725;6860;1500;1115
Tu;04/03/2018;6975;7520;6965;7460;1489;1108
Mo;04/02/2018;6905;7150;6775;6990;1369;1104
;;;;;;;
Th;03/29/2018;7885;7995;7345;7390;;
We;03/28/2018;8010;8100;7735;7875;374;1107
Tu;03/27/2018;7880;8270;7760;7895;494;1179
Mo;03/26/2018;8650;8650;7840;7910;742;1243
;;;;;;;
Fr;03/23/2018;8650;8770;8270;8615;1012;1292
Th;03/22/2018;8905;9095;8500;8630;1039;1313
We;03/21/2018;8990;9185;8775;8890;1130;1334
Tu;03/20/2018;8420;9025;8320;8945;1170;1351
Mo;03/19/2018;8275;8720;8100;8400;1246;1371
;;;;;;;
Fr;03/16/2018;8340;8640;7885;8555;1274;1384
Th;03/15/2018;8005;8450;7700;8235;1251;1311
We;03/14/2018;8905;9395;8185;8275;1268;1243
Tu;03/13/2018;9165;9515;8825;9070;1361;1189
Mo;03/12/2018;9490;9940;8735;8910;1395;1138
;;;;;;;
Fr;03/09/2018;9350;9445;8390;9015;1436;1104
Th;03/08/2018;9970;10100;9105;9400;1410;1067
We;03/07/2018;10735;10880;9385;9790;1460;1035
Tu;03/06/2018;11595;11655;10570;10650;1449;1015
Mo;03/05/2018;11350;11700;11340;11615;1479;992
;;;;;;;
Fr;03/02/2018;11035;11215;10760;11060;1332;972
Th;03/01/2018;10450;11100;10220;11065;1353;968
We;02/28/2018;10665;11005;10330;10645;1387;969
Tu;02/27/2018;10285;10875;10100;10660;1469;970
Mo;02/26/2018;9680;10390;9270;10250;1441;959
;;;;;;;
Fr;02/23/2018;9975;10360;9590;10319;168;945
Th;02/22/2018;10505;10900;9710;10085;243;1001
We;02/21/2018;11240;11340;10220;10370;459;1043
Tu;02/20/2018;10350;11760;10315;11735;594;1070
Mo;02/19/2018;;;;;877;1087
;;;;;;;
Fr;02/16/2018;10090;10265;9675;10020;877;1087
Th;02/15/2018;9400;10180;9375;10090;940;1034
We;02/14/2018;8505;9390;8505;9290;1159;981
Tu;02/13/2018;8925;9000;8335;8700;1104;922
Mo;02/12/2018;8380;8920;8075;8860;1170;876
;;;;;;;
Fr;02/09/2018;8165;8770;7715;8610;1277;832
Th;02/08/2018;7790;8690;7645;8325;1364;784
We;02/07/2018;7620;8540;7235;8245;1402;734
Tu;02/06/2018;6850;7920;5970;7550;1315;687
Mo;02/05/2018;8305;8315;6870;7260;1228;648
;;;;;;;
Fr;02/02/2018;8890;9075;7750;8585;1010;616
Th;02/01/2018;10020;10175;8480;9090;873;597
We;01/31/2018;10000;10275;9500;10000;866;585
Tu;01/30/2018;11120;11245;9720;9940;849;572
Mo;01/29/2018;11510;11775;10970;11170;867;558
;;;;;;;
Fr;01/26/2018;11355;11570;10345;10925;85;545
Th;01/25/2018;11090;11710;10830;11245;139;582
We;01/24/2018;10790;11455;10435;11115;283;613
Tu;01/23/2018;10625;11350;9865;11095;410;634
Mo;01/22/2018;11300;11830;9955;10355;509;640
;;;;;;;
Fr;01/19/2018;11335;12030;10990;11360;560;644
Th;01/18/2018;11125;12075;10645;11815;618;640
We;01/17/2018;11190;11800;9225;10945;696;631
Tu;01/16/2018;13600;14280;11160;11160;730;617
;;;;;;;
Fr;01/12/2018;13000;14080;12850;13945;748;601
Th;01/11/2018;14500;14910;12820;13385;727;578
We;01/10/2018;14405;14720;13480;14450;690;550
Tu;01/09/2018;14675;15365;14185;14750;665;520
Mo;01/08/2018;16425;16455;13870;14905;642;490
;;;;;;;
Fr;01/05/2018;15085;16845;14870;16590;671;
Th;01/04/2018;14925;15470;14205;14900;642;
We;01/03/2018;14900;15450;14650;14975;611;
Tu;01/02/2018;13955;15245;13080;14855;596;
;;;;;;;
Fr;12/29/2017;13965;15005;13835;14470;498;
Th;12/28/2017;15150;15280;13360;13745;566;
We;12/27/2017;15655;16545;14460;14690;493;
Tu;12/26/2017;13900;16100;13700;15785;491;
Mo;12/25/2017;;;;;489;
;;;;;;;
Fr;12/22/2017;15595;15825;12265;14135;489;
Th;12/21/2017;16400;17270;15080;15330;407;
We;12/20/2017;17745;18350;16435;17040;306;
Tu;12/19/2017;19135;19725;17180;18200;231;
Mo;12/18/2017;20650;20650;18345;19100;215;
;;;;;;;
Fr;12/15/2017;19500;19500;19500;19500;;
