Date,t_Copula_Capped
2019-12-27,0.0031476242649148417
2019-12-30,0.00023099875425469912
2019-12-31,-0.0032503416050257018
2020-01-02,0.014880063673733354
2020-01-03,-0.01901497119779155
2020-01-06,0.014942978111105443
2020-01-07,-0.01796636280639536
2020-01-08,0.07408630697910375
2020-01-09,-0.029660221437674415
2020-01-10,-0.0057417840348036805
2020-01-13,0.0004246946962608621
2020-01-14,0.029632670460226614
2020-01-15,0.00022590162431248076
2020-01-16,-0.005157295205814359
2020-01-17,0.0053564695696381
2020-01-21,-0.005633564763483605
2020-01-22,0.002885905443388116
2020-01-23,-0.010451216323873972
2020-01-24,0.0053965039542361
2020-01-27,-0.004111756701904508
2020-01-28,0.022954924925581318
2020-01-29,0.007667500821346054
2020-01-30,-0.004684730845614621
2020-01-31,0.011996208803483939
