"date","Future","BTC"
"2019-07-30",9735,9562.600028
"2019-07-31",10115,10007.53075
"2019-08-01",10450,10383.69762
"2019-08-02",10600,10515.43734
"2019-08-05",11910,11809.54569
"2019-08-06",11830,11314.31167
"2019-08-07",11885,11973.6423
"2019-08-08",11690,11843.48348
"2019-08-09",11945,11841.13329
"2019-08-12",11560,11416.01017
"2019-08-13",10945,10883.50556
"2019-08-14",10160,10239.04889
"2019-08-15",10130,10393.01971
"2019-08-16",10515,10393.86955
"2019-08-19",10745,10772.49645
"2019-08-20",10775,10834.9292
"2019-08-21",10115,10067.83563
"2019-08-22",10185,10160.14729
"2019-08-23",10460,10377.5624
"2019-08-26",10330,10333.47497
"2019-08-27",10165,10141.7431
"2019-08-28",9645,9743.881027
"2019-08-29",9505,9483.490821
"2019-08-30",9584,9596.251721
"2019-09-03",10800,10697.29057
"2019-09-04",10835,10549.16714
"2019-09-05",10625,10576.43324
"2019-09-06",10460,10328.00911
"2019-09-09",10370,10332.33893
"2019-09-10",10060,10088.12306
"2019-09-11",10125,10144.84109
"2019-09-12",10410,10389.41474
"2019-09-13",10265,10285.99757
"2019-09-16",10135,10289.12255
"2019-09-17",10305,10227.20312
"2019-09-18",10205,10172.91525
"2019-09-19",10155,10212.1384
"2019-09-20",10180,10137.12145
"2019-09-23",9805,9717.457056
"2019-09-24",8380,8673.100671
"2019-09-25",8350,8440.45944
"2019-09-26",8145,8113.046883
"2019-09-27",8004,8186.134692
"2019-09-30",8335,8221.182332
"2019-10-01",8325,8336.756554
"2019-10-02",8270,8275.690846
"2019-10-03",8160,8200.680874
"2019-10-04",8225,8170.270243
"2019-10-07",8255,8236.191472
"2019-10-08",8170,8193.149824
"2019-10-09",8645,8574.536311
"2019-10-10",8595,8568.395316
"2019-10-11",8355,8315.424334
"2019-10-14",8355,8340.230743
"2019-10-15",8170,8136.053757
"2019-10-16",7950,8004.276518
"2019-10-17",8060,8054.531378
"2019-10-18",7960,7959.23762
"2019-10-21",8205,8182.173469
"2019-10-22",8165,8084.353034
"2019-10-23",7475,7419.461009
"2019-10-24",7490,7455.624196
"2019-10-25",7678,8594.97811
"2019-10-28",9530,9437.624487
"2019-10-29",9315,9439.907703
"2019-10-30",9270,9215.950739
"2019-10-31",9305,9126.029899
"2019-11-01",9235,9194.475269
"2019-11-04",9565,9375.047296
"2019-11-05",9420,9322.227453
"2019-11-06",9360,9340.078172
"2019-11-07",9220,9227.631113
"2019-11-08",8845,8802.006578
"2019-11-11",8750,8722.87778
"2019-11-12",8835,8775.901713
"2019-11-13",8785,8757.491605
"2019-11-14",8675,8656.049019
"2019-11-15",8505,8519.308157
"2019-11-18",8205,8204.450648
"2019-11-19",8110,8139.300421
"2019-11-20",8110,8089.968123
"2019-11-21",7580,7623.379482
"2019-11-22",7330,7247.485015
"2019-11-25",7165,7202.179932
"2019-11-26",7115,7140.575699
"2019-11-27",7570,7520.577047
"2019-11-29",7776,7731.265342
"2019-12-02",7335,7330.899741
"2019-12-03",7340,7306.240626
"2019-12-04",7220,7234.457973
"2019-12-05",7420,7395.715009
"2019-12-06",7460,7533.215553
"2019-12-09",7320,7338.019653
"2019-12-10",7215,7238.918466
"2019-12-11",7175,7200.674774
"2019-12-12",7265,7197.926879
"2019-12-13",7265,7242.631995
"2019-12-16",6860,6890.49028
"2019-12-17",6580,6609.383767
"2019-12-18",7135,7441.945616
"2019-12-19",7165,7156.978418
"2019-12-20",7230,7185.506357
"2019-12-23",7410,7296.638462
"2019-12-24",7235,7238.975229
"2019-12-26",7250,7206.060593
"2019-12-27",7204,7241.487466
"2019-12-30",7285,7268.287633
"2019-12-31",7210,7198.202412
"2020-01-02",6940,6969.537506
"2020-01-03",7385,7301.87046
"2020-01-06",7615,7713.70579
"2020-01-07",8280,8046.727326
"2020-01-08",8110,8073.48204
"2020-01-09",7885,7809.914594
"2020-01-10",8135,8090.14883
"2020-01-13",8200,8117.319041
"2020-01-14",8750,8721.031954
"2020-01-15",8880,8853.260223
"2020-01-16",8790,8717.469028
"2020-01-17",8925,8939.523572
"2020-01-21",8750,8722.822989
"2020-01-22",8680,8645.875387
"2020-01-23",8370,8402.941524
"2020-01-24",8495,8461.665406
"2020-01-27",8995,8904.553886
"2020-01-28",9060,9134.464627
"2020-01-29",9390,9341.512202
"2020-01-30",9555,9563.681692
"2020-01-31",9278,9401.573083
"2020-02-03",9410,9274.998105
"2020-02-04",9255,9199.127297
"2020-02-05",9830,9628.940331
"2020-02-06",9895,9691.085228
"2020-02-07",9845,9804.310821
"2020-02-10",9935,9839.786091
"2020-02-11",10405,10206.884
"2020-02-12",10525,10346.18175
"2020-02-13",10305,10221.0849
"2020-02-14",10495,10350.13987
"2020-02-18",10250,10176.38575
"2020-02-19",10225,9691.823289
"2020-02-20",9615,9613.862163
"2020-02-21",9740,9662.930487
"2020-02-24",9600,9637.604643
"2020-02-25",9320,9396.059474
"2020-02-26",8780,8790.366197
"2020-02-27",8890,8795.315219
"2020-02-28",8663,8786.651879
"2020-03-02",8975,8915.109112
"2020-03-03",8770,8781.227445
"2020-03-04",8760,8745.750184
"2020-03-05",9195,9062.278295
"2020-03-06",9165,9108.350039
"2020-03-09",7850,7876.012696
"2020-03-10",7995,7962.189018
"2020-03-11",7855,7950.440768
"2020-03-12",6010,5802.300042
"2020-03-13",5330,5601.711042
"2020-03-16",4930,4926.398009
"2020-03-17",5380,5432.696268
"2020-03-18",5340,5347.055486
"2020-03-19",6240,6283.428345
"2020-03-20",6210,6162.99561
"2020-03-23",6300,6449.230188
"2020-03-24",6725,6764.375379
"2020-03-25",6630,6690.633795
"2020-03-26",6675,6703.884923
"2020-03-27",6648,6660.049153
"2020-03-30",6380,6461.555804
"2020-03-31",6475,6434.048755
"2020-04-01",6210,6523.350036
"2020-04-02",6865,6845.73466
"2020-04-03",6800,6765.663897
"2020-04-06",7330,7269.525395
"2020-04-07",7330,7172.087473
"2020-04-08",7335,7359.530534
"2020-04-09",7290,7313.085631
"2020-04-13",6810,6878.168622
"2020-04-14",6950,6876.270983
"2020-04-15",6740,6711.141006
"2020-04-16",7105,7161.841352
"2020-04-17",7080,7056.163045
"2020-04-20",6795,6877.697305
"2020-04-21",6890,6894.991381
"2020-04-22",7115,7113.292732
"2020-04-23",7540,7565.382614
"2020-04-24",7461,7487.431599
"2020-04-27",7780,7763.262095
"2020-04-28",7780,7751.680219
"2020-04-29",8825,8756.702619
"2020-04-30",8930,8764.250639
"2020-05-01",8840,8840.083812
"2020-05-04",8935,8871.675129
"2020-05-05",8985,8969.49103
"2020-05-06",9340,9361.070644
"2020-05-07",10010,9895.044152
"2020-05-08",10030,9879.352954
"2020-05-11",8795,8601.982602
"2020-05-12",8870,8813.470182
"2020-05-13",9270,9318.683052
"2020-05-14",9725,9753.482304
"2020-05-15",9395,9364.231243
"2020-05-18",9745,9723.321589
"2020-05-19",9680,9756.734794
"2020-05-20",9570,9526.4258
"2020-05-21",9075,9122.312678
"2020-05-22",9175,9197.416663
"2020-05-26",8785,8834.247738
"2020-05-27",9170,9103.015312
"2020-05-28",9450,9487.965648
"2020-05-29",9443,9428.571566
"2020-06-01",9650,9743.479482
"2020-06-02",9580,9494.9914
"2020-06-03",9655,9611.380242
"2020-06-04",9895,9815.631688
"2020-06-05",9800,9677.788361
"2020-06-08",9780,9696.11352
"2020-06-09",9805,9773.480706
"2020-06-10",9935,9892.442094
"2020-06-11",9300,9323.853599
"2020-06-12",9465,9478.191282
"2020-06-15",9440,9421.671434
"2020-06-16",9530,9523.40783
"2020-06-17",9325,9436.201965
"2020-06-18",9410,9378.783325
"2020-06-19",9315,9298.101299
"2020-06-22",9585,9679.103697
"2020-06-23",9660,9611.914238
"2020-06-24",9285,9297.588616
"2020-06-25",9280,9259.967722
"2020-06-26",9084,9171.199655
"2020-06-29",9200,9183.941045
"2020-06-30",9185,9133.231893
"2020-07-01",9325,9241.686757
"2020-07-02",9060,9100.607704
"2020-07-06",9355,9289.150147
"2020-07-07",9290,9247.178524
"2020-07-08",9510,9449.879386
"2020-07-09",9255,9243.052734
"2020-07-10",9275,9229.289252
"2020-07-13",9270,9240.972951
"2020-07-14",9310,9256.159361
"2020-07-15",9190,9205.833138
"2020-07-16",9145,9137.810806
"2020-07-17",9195,9163.247688
"2020-07-20",9190,9167.078943
"2020-07-21",9395,9379.465353
"2020-07-22",9425,9506.098413
"2020-07-23",9650,9593.488495
"2020-07-24",9615,9538.179508
"2020-07-27",10895,11220.16066
"2020-07-28",11035,10947.4301
"2020-07-29",11240,11251.93955
"2020-07-30",11145,11169.15016
"2020-07-31",11208,11305.19998
"2020-08-03",11620,11216.63597
"2020-08-04",11370,11232.63234
"2020-08-05",11850,11624.3672
"2020-08-06",12040,11785.41556
"2020-08-07",11575,11580.87929
"2020-08-10",12015,11817.98101
"2020-08-11",11435,11349.7617
"2020-08-12",11665,11544.50849
"2020-08-13",11590,11725.91728
"2020-08-14",11935,11780.62166
"2020-08-17",12485,12373.75716
"2020-08-18",12035,12048.09727
"2020-08-19",11690,11739.96517
"2020-08-20",11895,11824.09774
"2020-08-21",11695,11552.47125
"2020-08-24",11770,11754.32459
"2020-08-25",11310,11356.45905
"2020-08-26",11480,11448.20281
"2020-08-27",11270,11269.56826
"2020-08-28",11449,11475.00324
"2020-08-31",11835,11653.73475
"2020-09-01",12075,11974.07299
"2020-09-02",11460,11426.28721
"2020-09-03",10720,10661.48612
"2020-09-04",10620,10468.58991
"2020-09-08",10015,10108.82426
"2020-09-09",10320,10277.2046
"2020-09-10",10315,10344.28473
"2020-09-11",10340,10362.05755
"2020-09-14",10705,10651.71063
"2020-09-15",10815,10780.06607
"2020-09-16",11015,11021.66975
"2020-09-17",10950,10913.04469
"2020-09-18",10880,10928.50747
"2020-09-21",10485,10479.86528
"2020-09-22",10495,10507.94452
"2020-09-23",10280,10270.70179
"2020-09-24",10670,10764.55753
