,Date,Open,High,Low,Close,Open Interest,SMAVG (15),date,price,log return future,log return CRIX
244,2019-09-25,8670.0,8785.0,8205.0,8350.0,1172.0,2999.0,2019-09-25,19010.1917668513,-0.11944767526224087,-0.10726855628909164
245,2019-09-24,9770.0,9780.0,7995.0,8380.0,1909.0,3166.0,2019-09-24,21162.7762351146,-0.03569114693791146,-0.038349646154312515
246,2019-09-23,10125.0,10125.0,9690.0,9805.0,2338.0,3290.0,2019-09-23,21990.1240681292,-0.002958582039745154,-0.02682697161208526
247,2019-09-20,10155.0,10355.0,10095.0,10180.0,3014.0,3342.0,2019-09-20,22588.0367366386,-0.01563295149086711,0.009556930438602191
248,2019-09-19,10315.0,10450.0,9605.0,10155.0,3015.0,3335.0,2019-09-19,22373.1927007826,0.006321440938797966,0.0030792800933450632
249,2019-09-18,10250.0,10310.0,10120.0,10205.0,3236.0,3303.0,2019-09-18,22304.4053360093,-0.005351508758005131,0.007418061135706767
250,2019-09-17,10305.0,10405.0,10185.0,10305.0,3182.0,3209.0,2019-09-17,22139.5620582977,-0.0029069787913092726,0.0017967067236989956
251,2019-09-16,10335.0,10430.0,10105.0,10135.0,3232.0,3091.0,2019-09-16,22099.8194718652,-0.013932485759164536,-0.0015295642651745604
252,2019-09-13,10480.0,10560.0,10205.0,10265.0,3310.0,2960.0,2019-09-13,22133.6484311844,0.031010236742560218,0.021263678695118273
253,2019-09-12,10160.0,10470.0,10085.0,10410.0,3513.0,2822.0,2019-09-12,21667.9741624609,0.001477468872557766,0.001014855316373858
254,2019-09-11,10145.0,10345.0,9900.0,10125.0,3197.0,2671.0,2019-09-11,21645.9954581759,-0.02097126355355892,-0.017701720772057818
255,2019-09-10,10360.0,10455.0,9945.0,10060.0,3294.0,2541.0,2019-09-10,22032.5783219427,-0.012470185576868804,-0.005244625617352744
256,2019-09-09,10490.0,10620.0,10115.0,10370.0,3477.0,2408.0,2019-09-09,22148.434492183,-0.013728026243994685,-0.007235201677059407
257,2019-09-06,10635.0,11130.0,10230.0,10460.0,3612.0,2266.0,2019-09-06,22309.2639979267,-0.014469330617842786,-0.0013197316333379617
258,2019-09-05,10790.0,10810.0,10530.0,10625.0,3482.0,2113.0,2019-09-05,22338.7256758193,-0.004623216741456853,-0.008219262307640552
259,2019-09-04,10840.0,10965.0,10470.0,10835.0,3682.0,1967.0,2019-09-04,22523.0901538563,0.10137094461499599,0.02872058925434016
260,2019-09-03,9795.0,10925.0,9795.0,10800.0,3768.0,1807.0,2019-09-03,21885.4147719606,0.021151162501157252,0.07455488079240494
261,2019-08-30,9590.0,9780.0,9420.0,9650.0,3115.0,1645.0,2019-08-30,20313.0907351079,-0.023190938833077542,-0.02475733400826288
262,2019-08-29,9815.0,9830.0,9400.0,9570.0,2914.0,1526.0,2019-08-29,20822.2656064295,-0.047746512751328414,-0.04758765165453847
263,2019-08-28,10295.0,10450.0,9630.0,9745.0,2532.0,1420.0,2019-08-28,21837.1037013077,-0.014943637931067195,-0.013969837841424505
264,2019-08-27,10450.0,10535.0,10165.0,10300.0,1831.0,1341.0,2019-08-27,22144.3052810557,0.03604871576759754,0.020829243490111966
265,2019-08-26,10080.0,10845.0,10080.0,10470.0,1409.0,1308.0,2019-08-26,21687.8267098549,-0.021105077836530223,-0.007311737656373882
266,2019-08-23,10295.0,10635.0,10170.0,10550.0,1266.0,1304.0,2019-08-23,21846.9835565859,0.011233329357376006,0.005062850967600934
267,2019-08-22,10180.0,10340.0,9865.0,10275.0,1234.0,1313.0,2019-08-22,21736.655058784,-0.07200078587145843,-0.05585696963713225
268,2019-08-21,10940.0,10940.0,9940.0,10210.0,1255.0,1319.0,2019-08-21,22985.3482045326,0.007339482488045748,-0.01724705814531923
269,2019-08-20,10860.0,11100.0,10675.0,10845.0,1249.0,1320.0,2019-08-20,23385.2162027687,0.025648409918960974,0.05004342525090177
270,2019-08-19,10585.0,10975.0,10425.0,10830.0,1289.0,1321.0,2019-08-19,22243.7397894297,0.004260361473612103,0.009148227945015458
271,2019-08-16,10540.0,10670.0,9900.0,10625.0,1348.0,1316.0,2019-08-16,22041.1769457264,0.01964134997948473,0.025279012153991108
272,2019-08-15,10335.0,10520.0,9640.0,10240.0,1326.0,1310.0,2019-08-15,21490.9812663724,-0.07005664993454319,-0.09276593892505047
273,2019-08-14,11085.0,11090.0,10185.0,10260.0,1286.0,1304.0,2019-08-14,23580.0097848084,-0.04928406026802954,-0.035624004054466765
274,2019-08-13,11645.0,11680.0,10950.0,11090.0,1283.0,1292.0,2019-08-13,24435.165753031,-0.01025211884302153,-0.015704788436206374
275,2019-08-12,11765.0,11815.0,11500.0,11690.0,1344.0,1282.0,2019-08-12,24821.9440476677,-0.021858793812499073,-0.03275347885800671
276,2019-08-09,12025.0,12380.0,11945.0,12090.0,1331.0,1267.0,2019-08-09,25648.4100007355,-0.019761861718627753,-0.0005758199360087515
277,2019-08-08,12265.0,12335.0,11750.0,11825.0,1316.0,1247.0,2019-08-08,25663.1831194608,0.03737976707158149,0.03418994010680422
278,2019-08-07,11815.0,12475.0,11555.0,12040.0,1351.0,1220.0,2019-08-07,24800.5904473699,-0.028370697129215576,-0.030248154933479748
279,2019-08-06,12155.0,12610.0,11870.0,11970.0,1327.0,1189.0,2019-08-06,25562.223476076,0.08585277988359089,0.06680481507908967
280,2019-08-05,11155.0,12250.0,11155.0,12070.0,1354.0,1158.0,2019-08-05,23910.3352117836,0.04820763553063922,0.046122318567524835
281,2019-08-02,10630.0,10955.0,10585.0,10705.0,1403.0,1123.0,2019-08-02,22832.5804379519,0.038844490424991045,0.022130362545778298
282,2019-08-01,10225.0,10730.0,10100.0,10520.0,1318.0,1082.0,2019-08-01,22332.8372991482,0.03837999086470333,0.04716273887913763
283,2019-07-31,9840.0,10300.0,9840.0,10170.0,1270.0,1049.0,2019-07-31,21304.0113465034,0.028345108171945858,0.009405128415458736
284,2019-07-30,9565.0,9950.0,9535.0,9785.0,1272.0,1026.0,2019-07-30,21104.5836755058,-0.012467693966743,-0.006492644543651466
285,2019-07-29,9685.0,9855.0,9285.0,9590.0,1214.0,1006.0,2019-07-29,21242.0540256971,-0.0409665375065584,-0.03257371174774716
286,2019-07-26,10090.0,10115.0,9910.0,10085.0,1259.0,990.0,2019-07-26,21945.3793411889,0.009960241705055434,0.006188855398273944
287,2019-07-25,9990.0,10420.0,9970.0,10070.0,1231.0,969.0,2019-07-25,21809.9819713225,-0.03925921245067384,-0.0038086210297177143
288,2019-07-24,10390.0,10390.0,9710.0,9845.0,1111.0,952.0,2019-07-24,21893.2063117012,-0.006236527769460881,-0.039322466685403686
289,2019-07-23,10455.0,10455.0,10150.0,10415.0,1129.0,940.0,2019-07-23,22771.2515015601,-0.04580239809422937,-0.027356803924013615
290,2019-07-22,10945.0,10960.0,10375.0,10415.0,1114.0,928.0,2019-07-22,23402.7993424541,0.008717650988357766,-0.0016047735789877825
291,2019-07-19,10850.0,10950.0,10395.0,10710.0,1040.0,878.0,2019-07-19,23440.3856872334,0.07311590858029347,0.09245829340454892
292,2019-07-18,10085.0,11005.0,9520.0,10755.0,900.0,845.0,2019-07-18,21370.3003803557,0.038923285896838036,0.021267307181342086
293,2019-07-17,9700.0,10190.0,9170.0,9975.0,895.0,901.0,2019-07-17,20920.610434095,-0.13481922280895137,-0.1322785333927429
294,2019-07-16,11100.0,11200.0,9605.0,9815.0,861.0,999.0,2019-07-16,23879.3328758936,0.009049835519917856,0.056734384456963514
295,2019-07-15,11000.0,11185.0,10000.0,11065.0,828.0,1148.0,2019-07-15,22562.2683083152,-0.046623316084341636,-0.10816459058414006
296,2019-07-12,11525.0,12150.0,11450.0,11870.0,795.0,1331.0,2019-07-12,25139.5815375957,-0.05609735461046797,-0.07352164127144518
297,2019-07-11,12190.0,12505.0,11180.0,11825.0,821.0,1512.0,2019-07-11,27057.5261869446,-0.06433341396835655,-0.03695140062854822
298,2019-07-10,13000.0,13665.0,11970.0,12440.0,921.0,1675.0,2019-07-10,28076.0415742078,0.01316317883399178,0.014341247986419291
299,2019-07-09,12830.0,13295.0,12570.0,12970.0,977.0,1831.0,2019-07-09,27676.2695660506,0.09519327315415171,0.05735868485911376
300,2019-07-08,11665.0,12695.0,11665.0,12640.0,968.0,1999.0,2019-07-08,26133.4647348648,-0.01065880907588628,0.023101749862691468
301,2019-07-05,11790.0,12250.0,11085.0,11440.0,946.0,2145.0,2019-07-05,25536.6561729407,0.06981109054255501,0.028011047174116885
302,2019-07-03,10995.0,11840.0,10995.0,11510.0,977.0,2300.0,2019-07-03,24831.2730726584,0.015582350118170963,0.005009341170300292
303,2019-07-02,10825.0,11210.0,10000.0,11120.0,923.0,2451.0,2019-07-02,24707.1957863349,-0.06309406039241414,-0.013621177885777417
304,2019-07-01,11530.0,11530.0,10325.0,10510.0,947.0,2595.0,2019-07-01,25046.0393806649,0.05940572057257474,-0.0250176453877151
305,2019-06-28,10865.0,12020.0,10815.0,11764.0,377.0,2744.0,2019-06-28,25680.536025263,-0.1401820305998625,-0.1465368418433017
306,2019-06-27,12500.0,13340.0,10285.0,10855.0,534.0,2940.0,2019-06-27,29733.3762322391,0.08164398904051023,0.07843736121629073
307,2019-06-26,11520.0,13915.0,11520.0,13885.0,1739.0,3113.0,2019-06-26,27490.2894797922,0.04301261555904538,0.05255733848931686
308,2019-06-25,11035.0,11525.0,11010.0,11380.0,2366.0,3223.0,2019-06-25,26082.7843696457,0.010018298727045887,0.013789318609064505
309,2019-06-24,10925.0,11160.0,10615.0,10945.0,3096.0,3292.0,2019-06-24,25725.588946411,0.12772936194091086,0.12142599450503369
310,2019-06-21,9615.0,10060.0,9560.0,9980.0,3572.0,3321.0,2019-06-21,22784.0374946538,0.031161750343243186,0.023056759113821813
311,2019-06-20,9320.0,9705.0,9260.0,9625.0,3516.0,3320.0,2019-06-20,22264.7213106931,0.03271829462296748,0.018050564578640762
312,2019-06-19,9020.0,9255.0,8985.0,9210.0,3259.0,3306.0,2019-06-19,21866.4359726046,-0.037535001821519524,-0.02686837399163866
313,2019-06-18,9365.0,9575.0,8985.0,9115.0,3263.0,3262.0,2019-06-18,22461.9155125748,0.032558491689237516,0.0298233991754014
314,2019-06-17,9065.0,9495.0,9055.0,9380.0,3495.0,3177.0,2019-06-17,21801.9154804164,0.08036450976802707,0.08305914746693487
315,2019-06-14,8365.0,8515.0,8215.0,8440.0,3164.0,3032.0,2019-06-14,20064.2311404522,0.022364183824131613,0.007595787489102004
316,2019-06-13,8180.0,8330.0,8070.0,8285.0,3278.0,2899.0,2019-06-13,19912.4048546581,0.03103911496789907,0.031221286419772697
317,2019-06-12,7930.0,8340.0,7830.0,8195.0,3240.0,2760.0,2019-06-12,19300.318736777,-0.006285375814960753,-0.01210565297374308
318,2019-06-11,7980.0,8085.0,7720.0,7920.0,3084.0,2624.0,2019-06-11,19535.3816219078,0.03897011798845661,0.04407094142232377
319,2019-06-10,7675.0,8115.0,7515.0,8010.0,3171.0,2499.0,2019-06-10,18693.134589236,-0.01165816312738952,-0.034674874900713346
320,2019-06-07,7765.0,8175.0,7740.0,8010.0,3319.0,2367.0,2019-06-07,19352.6855330898,0.002578982731818356,0.006975788639283886
321,2019-06-06,7745.0,7915.0,7460.0,7610.0,3139.0,2225.0,2019-06-06,19218.1550628104,0.028816663233892627,0.02023274117328286
322,2019-06-05,7525.0,7970.0,7435.0,7835.0,3383.0,2094.0,2019-06-05,18833.2263186572,-0.12886937951871136,-0.06241697564563532
323,2019-06-04,8560.0,8565.0,7515.0,7625.0,3394.0,1947.0,2019-06-04,20046.2006677971,-0.019665179697860146,-0.06835385930400924
