,Date,PX_LAST,contract_name
149,2020-10-23 20:00:00+00:00,13110,BTCX0 Curncy
150,2020-10-22 20:00:00+00:00,13265,BTCX0 Curncy
151,2020-10-21 20:00:00+00:00,12845,BTCX0 Curncy
152,2020-10-20 20:00:00+00:00,12080,BTCX0 Curncy
153,2020-10-19 20:00:00+00:00,11835,BTCX0 Curncy
154,2020-10-16 20:00:00+00:00,11450,BTCX0 Curncy
155,2020-10-15 20:00:00+00:00,11680,BTCX0 Curncy
156,2020-10-14 20:00:00+00:00,11490,BTCX0 Curncy
157,2020-10-13 20:00:00+00:00,11520,BTCX0 Curncy
158,2020-10-12 20:00:00+00:00,11720,BTCX0 Curncy
159,2020-10-09 20:00:00+00:00,11205,BTCX0 Curncy
160,2020-10-08 20:00:00+00:00,11035,BTCX0 Curncy
161,2020-10-07 20:00:00+00:00,10790,BTCX0 Curncy
162,2020-10-06 20:00:00+00:00,10710,BTCX0 Curncy
163,2020-10-05 20:00:00+00:00,10870,BTCX0 Curncy
164,2020-10-02 20:00:00+00:00,10615,BTCX0 Curncy
165,2020-10-01 20:00:00+00:00,10725,BTCX0 Curncy
166,2020-09-30 20:00:00+00:00,10840,BTCX0 Curncy
167,2020-09-29 20:00:00+00:00,10875,BTCX0 Curncy
168,2020-09-28 20:00:00+00:00,11005,BTCX0 Curncy
169,2020-09-25 20:00:00+00:00,10885,BTCX0 Curncy
170,2020-09-24 20:00:00+00:00,10725,BTCV0 Curncy
171,2020-09-23 20:00:00+00:00,10345,BTCV0 Curncy
172,2020-09-22 20:00:00+00:00,10565,BTCV0 Curncy
173,2020-09-21 20:00:00+00:00,10560,BTCV0 Curncy
174,2020-09-18 20:00:00+00:00,10970,BTCV0 Curncy
175,2020-09-17 20:00:00+00:00,11035,BTCV0 Curncy
176,2020-09-16 20:00:00+00:00,11095,BTCV0 Curncy
177,2020-09-15 20:00:00+00:00,10890,BTCV0 Curncy
178,2020-09-14 20:00:00+00:00,10780,BTCV0 Curncy
179,2020-09-11 20:00:00+00:00,10420,BTCV0 Curncy
180,2020-09-10 20:00:00+00:00,10405,BTCV0 Curncy
181,2020-09-09 20:00:00+00:00,10400,BTCV0 Curncy
182,2020-09-08 20:00:00+00:00,10090,BTCV0 Curncy
183,2020-09-04 20:00:00+00:00,10705,BTCV0 Curncy
184,2020-09-03 20:00:00+00:00,10795,BTCV0 Curncy
185,2020-09-02 20:00:00+00:00,11560,BTCV0 Curncy
186,2020-09-01 20:00:00+00:00,12180,BTCV0 Curncy
187,2020-08-31 20:00:00+00:00,11940,BTCV0 Curncy
188,2020-08-28 20:00:00+00:00,11705,BTCV0 Curncy
189,2020-08-27 20:00:00+00:00,11340,BTCU0 Curncy
190,2020-08-26 20:00:00+00:00,11630,BTCU0 Curncy
191,2020-08-25 20:00:00+00:00,11440,BTCU0 Curncy
192,2020-08-24 20:00:00+00:00,11940,BTCU0 Curncy
193,2020-08-21 20:00:00+00:00,11860,BTCU0 Curncy
194,2020-08-20 20:00:00+00:00,12055,BTCU0 Curncy
195,2020-08-19 20:00:00+00:00,11845,BTCU0 Curncy
196,2020-08-18 20:00:00+00:00,12190,BTCU0 Curncy
197,2020-08-17 20:00:00+00:00,12625,BTCU0 Curncy
198,2020-08-14 20:00:00+00:00,12040,BTCU0 Curncy
199,2020-08-13 20:00:00+00:00,11705,BTCU0 Curncy
200,2020-08-12 20:00:00+00:00,11770,BTCU0 Curncy
201,2020-08-11 20:00:00+00:00,11550,BTCU0 Curncy
202,2020-08-10 20:00:00+00:00,12115,BTCU0 Curncy
203,2020-08-07 20:00:00+00:00,11690,BTCU0 Curncy
204,2020-08-06 20:00:00+00:00,12120,BTCU0 Curncy
205,2020-08-05 20:00:00+00:00,11930,BTCU0 Curncy
206,2020-08-04 20:00:00+00:00,11480,BTCU0 Curncy
207,2020-08-03 20:00:00+00:00,11695,BTCU0 Curncy
208,2020-07-31 20:00:00+00:00,11700,BTCU0 Curncy
209,2020-07-30 20:00:00+00:00,11370,BTCQ0 Curncy
210,2020-07-29 20:00:00+00:00,11425,BTCQ0 Curncy
211,2020-07-28 20:00:00+00:00,11215,BTCQ0 Curncy
212,2020-07-27 20:00:00+00:00,11065,BTCQ0 Curncy
213,2020-07-24 20:00:00+00:00,9690,BTCQ0 Curncy
214,2020-07-23 20:00:00+00:00,9720,BTCQ0 Curncy
215,2020-07-22 20:00:00+00:00,9480,BTCQ0 Curncy
216,2020-07-21 20:00:00+00:00,9460,BTCQ0 Curncy
217,2020-07-20 20:00:00+00:00,9255,BTCQ0 Curncy
218,2020-07-17 20:00:00+00:00,9250,BTCQ0 Curncy
219,2020-07-16 20:00:00+00:00,9195,BTCQ0 Curncy
220,2020-07-15 20:00:00+00:00,9250,BTCQ0 Curncy
221,2020-07-14 20:00:00+00:00,9370,BTCQ0 Curncy
222,2020-07-13 20:00:00+00:00,9330,BTCQ0 Curncy
223,2020-07-10 20:00:00+00:00,9330,BTCQ0 Curncy
224,2020-07-09 20:00:00+00:00,9320,BTCQ0 Curncy
225,2020-07-08 20:00:00+00:00,9560,BTCQ0 Curncy
226,2020-07-07 20:00:00+00:00,9350,BTCQ0 Curncy
227,2020-07-06 20:00:00+00:00,9405,BTCQ0 Curncy
228,2020-07-02 20:00:00+00:00,9115,BTCQ0 Curncy
229,2020-07-01 20:00:00+00:00,9365,BTCQ0 Curncy
230,2020-06-30 20:00:00+00:00,9240,BTCQ0 Curncy
231,2020-06-29 20:00:00+00:00,9255,BTCQ0 Curncy
232,2020-06-26 20:00:00+00:00,9280,BTCQ0 Curncy
233,2020-06-25 20:00:00+00:00,9340,BTCN0 Curncy
234,2020-06-24 20:00:00+00:00,9375,BTCN0 Curncy
235,2020-06-23 20:00:00+00:00,9745,BTCN0 Curncy
236,2020-06-22 20:00:00+00:00,9660,BTCN0 Curncy
237,2020-06-19 20:00:00+00:00,9385,BTCN0 Curncy
238,2020-06-18 20:00:00+00:00,9480,BTCN0 Curncy
239,2020-06-17 20:00:00+00:00,9400,BTCN0 Curncy
240,2020-06-16 20:00:00+00:00,9595,BTCN0 Curncy
241,2020-06-15 20:00:00+00:00,9510,BTCN0 Curncy
242,2020-06-12 20:00:00+00:00,9525,BTCN0 Curncy
243,2020-06-11 20:00:00+00:00,9365,BTCN0 Curncy
244,2020-06-10 20:00:00+00:00,9980,BTCN0 Curncy
245,2020-06-09 20:00:00+00:00,9860,BTCN0 Curncy
246,2020-06-08 20:00:00+00:00,9830,BTCN0 Curncy
247,2020-06-05 20:00:00+00:00,9860,BTCN0 Curncy
248,2020-06-04 20:00:00+00:00,9950,BTCN0 Curncy
249,2020-06-03 20:00:00+00:00,9705,BTCN0 Curncy
250,2020-06-02 20:00:00+00:00,9630,BTCN0 Curncy
251,2020-06-01 20:00:00+00:00,9700,BTCN0 Curncy
252,2020-05-29 20:00:00+00:00,9530,BTCN0 Curncy
253,2020-05-28 20:00:00+00:00,9560,BTCM20 Curncy
254,2020-05-27 20:00:00+00:00,9250,BTCM20 Curncy
255,2020-05-26 20:00:00+00:00,8855,BTCM20 Curncy
256,2020-05-22 20:00:00+00:00,9255,BTCM20 Curncy
257,2020-05-21 20:00:00+00:00,9165,BTCM20 Curncy
258,2020-05-20 20:00:00+00:00,9640,BTCM20 Curncy
259,2020-05-19 20:00:00+00:00,9765,BTCM20 Curncy
260,2020-05-18 20:00:00+00:00,9830,BTCM20 Curncy
261,2020-05-15 20:00:00+00:00,9455,BTCM20 Curncy
262,2020-05-14 20:00:00+00:00,9815,BTCM20 Curncy
263,2020-05-13 20:00:00+00:00,9325,BTCM20 Curncy
264,2020-05-12 20:00:00+00:00,8930,BTCM20 Curncy
265,2020-05-11 20:00:00+00:00,8845,BTCM20 Curncy
266,2020-05-08 20:00:00+00:00,10090,BTCM20 Curncy
267,2020-05-07 20:00:00+00:00,10060,BTCM20 Curncy
268,2020-05-06 20:00:00+00:00,9385,BTCM20 Curncy
269,2020-05-05 20:00:00+00:00,9020,BTCM20 Curncy
270,2020-05-04 20:00:00+00:00,8965,BTCM20 Curncy
271,2020-05-01 20:00:00+00:00,8850,BTCM20 Curncy
272,2020-04-30 20:00:00+00:00,8930,BTCK20 Curncy
273,2020-04-29 20:00:00+00:00,8825,BTCK20 Curncy
274,2020-04-28 20:00:00+00:00,7780,BTCK20 Curncy
275,2020-04-27 20:00:00+00:00,7780,BTCK20 Curncy
276,2020-04-24 20:00:00+00:00,7595,BTCK20 Curncy
277,2020-04-23 20:00:00+00:00,7625,BTCK20 Curncy
278,2020-04-22 20:00:00+00:00,7155,BTCK20 Curncy
279,2020-04-21 20:00:00+00:00,6900,BTCK20 Curncy
280,2020-04-20 20:00:00+00:00,6815,BTCK20 Curncy
281,2020-04-17 20:00:00+00:00,7115,BTCK20 Curncy
282,2020-04-16 20:00:00+00:00,7125,BTCK20 Curncy
283,2020-04-15 20:00:00+00:00,6755,BTCK20 Curncy
284,2020-04-14 20:00:00+00:00,6965,BTCK20 Curncy
