,Date,log return future,log return brr
311,2019-06-13,0.010922438682733251,0.01936865346150989
312,2019-06-12,0.03413300636945862,0.026148077219410797
313,2019-06-11,-0.011299555253933394,-0.020441158934518158
314,2019-06-10,0.0,-0.0013174611957866864
315,2019-06-07,0.05122758920667338,0.03573077054306086
316,2019-06-06,-0.02913770393438968,-0.006098793637514632
317,2019-06-05,0.027168553314508886,-0.03027563299460302
318,2019-06-04,-0.12497026032248894,-0.05862269632807236
319,2019-06-03,0.01222722656956034,0.004722507159840211
320,2019-05-31,-0.016846172425854837,-0.03605400870966724
321,2019-05-30,-0.0086034370655564,0.0005894150856780311
322,2019-05-29,-0.002281803614114363,0.00387308281228609
323,2019-05-28,0.08066018222233098,0.07971736271842805
324,2019-05-24,0.03456203257237882,0.038156934368189004
325,2019-05-23,-0.0183723888047921,-0.019663864836075087
