Date,Coin,Weight in Index
2019-06-01,maker,1.57809%
2019-06-01,zcash,1.43981%
2019-06-01,bitcoin-gold,1.33795%
2019-06-01,basic-attention-token,1.23402%
2019-06-01,vechain,1.21193%
2019-06-01,dogecoin,1.19103%
2019-06-01,omisego,1.05633%
2019-06-01,qtum,1.04405%
2019-06-01,waves,0.9536%
2019-06-01,ravencoin,0.87117%
2019-06-01,maximine-coin,0.556831%
2019-05-01,bitcoin,22.4572%
2019-05-01,ethereum,9.52964%
2019-05-01,ripple,8.28572%
2019-05-01,bitcoin-cash,5.04052%
2019-05-01,litecoin,4.9086%
2019-05-01,eos,4.8961%
2019-05-01,binance-coin,4.05624%
2019-05-01,stellar,3.20682%
2019-05-01,cardano,3.08217%
2019-05-01,tron,2.91572%
2019-05-01,monero,2.37514%
2019-05-01,dash,2.28906%
2019-05-01,bitcoin-sv,2.26031%
2019-05-01,iota,2.11638%
2019-05-01,tezos,2.0712%
2019-05-01,ethereum-classic,1.85877%
2019-05-01,neo,1.83056%
2019-05-01,ontology,1.70843%
2019-05-01,maker,1.70799%
2019-05-01,nem,1.63951%
2019-05-01,basic-attention-token,1.59676%
2019-05-01,zcash,1.4357%
2019-05-01,vechain,1.35418%
2019-05-01,dogecoin,1.25921%
2019-05-01,bitcoin-gold,1.2269%
2019-05-01,waves,1.09105%
2019-05-01,omisego,1.08135%
2019-05-01,qtum,1.0766%
2019-05-01,ravencoin,0.959215%
2019-05-01,maximine-coin,0.683016%
2019-04-01,bitcoin,20.8973%
2019-04-01,ethereum,9.48562%
2019-04-01,ripple,8.87253%
2019-04-01,litecoin,4.75169%
2019-04-01,eos,4.73374%
2019-04-01,bitcoin-cash,4.2383%
2019-04-01,binance-coin,3.78435%
2019-04-01,stellar,3.54399%
2019-04-01,cardano,3.22879%
2019-04-01,tron,3.07698%
2019-04-01,bitcoin-sv,2.65014%
2019-04-01,monero,2.35896%
2019-04-01,dash,2.28083%
2019-04-01,iota,2.27688%
2019-04-01,maker,2.09494%
2019-04-01,neo,1.94539%
2019-04-01,ontology,1.93939%
2019-04-01,tezos,1.83897%
2019-04-01,ethereum-classic,1.7855%
2019-04-01,nem,1.69804%
2019-04-01,zcash,1.46604%
2019-04-01,vechain,1.40432%
2019-04-01,basic-attention-token,1.37805%
2019-04-01,waves,1.3029%
2019-04-01,omisego,1.2381%
2019-04-01,dogecoin,1.22526%
2019-04-01,qtum,1.21168%
2019-04-01,bitcoin-gold,1.17201%
2019-04-01,ravencoin,1.06106%
2019-04-01,maximine-coin,1.05824%
2019-03-01,bitcoin,21.8253%
2019-03-01,ethereum,10.0532%
2019-03-01,ripple,9.57587%
2019-03-01,eos,4.75061%
2019-03-01,litecoin,4.44279%
2019-03-01,bitcoin-cash,4.0512%
2019-03-01,stellar,3.39935%
2019-03-01,tron,3.34623%
2019-03-01,binance-coin,3.20862%
2019-03-01,bitcoin-sv,2.89089%
2019-03-01,cardano,2.80468%
2019-03-01,monero,2.41134%
2019-03-01,iota,2.36441%
2019-03-01,dash,2.25383%
2019-03-01,maker,2.17881%
2019-03-01,neo,2.02204%
2019-03-01,ethereum-classic,1.8082%
2019-03-01,nem,1.64528%
2019-03-01,zcash,1.47861%
2019-03-01,ontology,1.43984%
2019-03-01,waves,1.37017%
2019-03-01,vechain,1.33911%
2019-03-01,tezos,1.32381%
2019-03-01,dogecoin,1.28334%
2019-03-01,bitcoin-gold,1.24426%
2019-03-01,basic-attention-token,1.19184%
2019-03-01,qtum,1.14595%
2019-03-01,omisego,1.1375%
2019-03-01,0x,1.0138%
2019-03-01,zilliqa,0.999172%
2019-02-01,bitcoin,22.4572%
2019-02-01,ripple,10.3097%
2019-02-01,ethereum,9.6602%
2019-02-01,eos,4.18513%
2019-02-01,bitcoin-cash,4.102%
2019-02-01,litecoin,3.98591%
2019-02-01,tron,3.75756%
2019-02-01,stellar,3.63194%
2019-02-01,bitcoin-sv,3.06199%
2019-02-01,cardano,2.8786%
2019-02-01,binance-coin,2.5969%
2019-02-01,monero,2.46886%
2019-02-01,iota,2.44566%
2019-02-01,dash,2.21186%
2019-02-01,neo,1.93713%
2019-02-01,ethereum-classic,1.88527%
2019-02-01,nem,1.73876%
2019-02-01,zcash,1.53788%
2019-02-01,waves,1.52575%
2019-02-01,maker,1.49657%
2019-02-01,tezos,1.3847%
2019-02-01,dogecoin,1.37584%
2019-02-01,vechain,1.3436%
2019-02-01,bitcoin-gold,1.20547%
2019-02-01,ontology,1.20332%
2019-02-01,qtum,1.1718%
2019-02-01,omisego,1.13044%
2019-02-01,zilliqa,1.12779%
2019-02-01,0x,1.10281%
2019-02-01,basic-attention-token,1.07927%
2019-01-01,bitcoin,21.9845%
2019-01-01,ripple,10.3356%
2019-01-01,ethereum,9.60276%
2019-01-01,bitcoin-cash,4.50453%
2019-01-01,eos,4.08286%
2019-01-01,stellar,4.06722%
2019-01-01,litecoin,3.64406%
2019-01-01,bitcoin-sv,3.40607%
2019-01-01,tron,3.01001%
2019-01-01,cardano,2.73035%
2019-01-01,iota,2.5694%
2019-01-01,monero,2.43324%
2019-01-01,binance-coin,2.31948%
2019-01-01,dash,2.24674%
2019-01-01,nem,2.13552%
2019-01-01,ethereum-classic,1.93653%
2019-01-01,neo,1.8691%
2019-01-01,zcash,1.55996%
2019-01-01,waves,1.53144%
2019-01-01,maker,1.52328%
2019-01-01,tezos,1.45343%
2019-01-01,dogecoin,1.44243%
2019-01-01,bitcoin-gold,1.33135%
2019-01-01,vechain,1.31187%
2019-01-01,qtum,1.21686%
2019-01-01,omisego,1.21352%
2019-01-01,ontology,1.15988%
2019-01-01,zilliqa,1.13773%
2019-01-01,0x,1.13761%
2019-01-01,basic-attention-token,1.10267%
2018-12-01,bitcoin,22.0869%
2018-12-01,ripple,10.1856%
2018-12-01,ethereum,9.14115%
2018-12-01,bitcoin-cash,4.86277%
2018-12-01,stellar,4.62015%
2018-12-01,eos,4.44415%
2018-12-01,litecoin,3.61379%
2018-12-01,tether,3.47656%
2018-12-01,cardano,2.68374%
2018-12-01,monero,2.62074%
2018-12-01,tron,2.49845%
2018-12-01,iota,2.36518%
2018-12-01,dash,2.34978%
2018-12-01,binance-coin,2.17701%
2018-12-01,nem,2.15024%
2018-12-01,neo,1.89848%
2018-12-01,ethereum-classic,1.88553%
2018-12-01,zcash,1.69343%
2018-12-01,tezos,1.56834%
2018-12-01,bitcoin-gold,1.50096%
2018-12-01,vechain,1.37777%
2018-12-01,maker,1.35013%
2018-12-01,dogecoin,1.32431%
2018-12-01,ontology,1.29724%
2018-12-01,omisego,1.24437%
2018-12-01,0x,1.22385%
2018-12-01,decred,1.14174%
2018-12-01,qtum,1.13645%
2018-12-01,lisk,1.06141%
2018-12-01,bytecoin-bcn,1.01983%
2018-11-01,bitcoin,21.8002%
2018-11-01,ethereum,9.40256%
2018-11-01,ripple,8.81024%
2018-11-01,bitcoin-cash,5.67446%
2018-11-01,eos,4.52424%
2018-11-01,stellar,4.3061%
2018-11-01,litecoin,3.57963%
2018-11-01,tether,2.85512%
2018-11-01,cardano,2.82431%
2018-11-01,monero,2.7123%
2018-11-01,tron,2.53732%
2018-11-01,iota,2.36875%
2018-11-01,dash,2.35043%
2018-11-01,binance-coin,2.30807%
2018-11-01,neo,2.0985%
2018-11-01,ethereum-classic,2.0549%
2018-11-01,nem,1.88898%
2018-11-01,tezos,1.85046%
2018-11-01,zcash,1.6128%
2018-11-01,vechain,1.59947%
2018-11-01,dogecoin,1.41291%
2018-11-01,maker,1.40099%
2018-11-01,bitcoin-gold,1.39991%
2018-11-01,omisego,1.39402%
2018-11-01,0x,1.36503%
2018-11-01,decred,1.2447%
2018-11-01,ontology,1.22993%
2018-11-01,qtum,1.22104%
2018-11-01,lisk,1.16306%
2018-11-01,bytecoin-bcn,1.00955%
2018-10-01,bitcoin,21.0711%
2018-10-01,ethereum,9.48637%
2018-10-01,ripple,8.95184%
2018-10-01,bitcoin-cash,5.8741%
2018-10-01,eos,4.48267%
2018-10-01,stellar,4.26627%
2018-10-01,litecoin,3.69488%
2018-10-01,tether,3.30385%
2018-10-01,cardano,2.88821%
2018-10-01,monero,2.73372%
2018-10-01,dash,2.49781%
2018-10-01,iota,2.48867%
2018-10-01,tron,2.3688%
2018-10-01,neo,2.17796%
2018-10-01,ethereum-classic,2.14385%
2018-10-01,binance-coin,2.08013%
2018-10-01,tezos,1.87813%
2018-10-01,nem,1.82722%
2018-10-01,vechain,1.68778%
2018-10-01,dogecoin,1.62402%
2018-10-01,zcash,1.5899%
2018-10-01,omisego,1.38775%
2018-10-01,bitcoin-gold,1.27833%
2018-10-01,bytecoin-bcn,1.24837%
2018-10-01,lisk,1.20856%
2018-10-01,ontology,1.1809%
2018-10-01,0x,1.16137%
2018-10-01,qtum,1.14705%
2018-10-01,maker,1.14371%
2018-10-01,decred,1.1267%
2018-09-01,bitcoin,21.6527%
2018-09-01,ethereum,10.7634%
2018-09-01,ripple,7.26559%
2018-09-01,bitcoin-cash,6.12132%
2018-09-01,eos,4.47357%
2018-09-01,stellar,4.08678%
2018-09-01,litecoin,3.71406%
2018-09-01,tether,3.32398%
2018-09-01,cardano,3.21265%
2018-09-01,iota,2.67022%
2018-09-01,monero,2.55342%
2018-09-01,tron,2.5016%
2018-09-01,dash,2.36907%
2018-09-01,ethereum-classic,2.31107%
2018-09-01,neo,2.23129%
2018-09-01,binance-coin,2.01587%
2018-09-01,nem,1.95223%
2018-09-01,vechain,1.88761%
2018-09-01,zcash,1.65126%
2018-09-01,omisego,1.517%
2018-09-01,lisk,1.44155%
2018-09-01,ontology,1.32331%
2018-09-01,qtum,1.26572%
2018-09-01,bytecoin-bcn,1.19456%
2018-09-01,bitcoin-gold,1.19398%
2018-09-01,decred,1.16171%
2018-09-01,zilliqa,1.13413%
2018-09-01,icon,1.12764%
2018-09-01,aeternity,1.00859%
2018-09-01,bytom,0.874178%
2018-08-01,bitcoin,19.8397%
2018-08-01,ethereum,11.591%
2018-08-01,ripple,7.14575%
2018-08-01,bitcoin-cash,6.34898%
2018-08-01,eos,4.58265%
2018-08-01,stellar,4.02347%
2018-08-01,litecoin,3.72349%
2018-08-01,cardano,3.47803%
2018-08-01,iota,2.82209%
2018-08-01,tether,2.69361%
2018-08-01,tron,2.63444%
2018-08-01,monero,2.5189%
2018-08-01,neo,2.4974%
2018-08-01,dash,2.38762%
2018-08-01,ethereum-classic,2.23246%
2018-08-01,nem,2.13055%
2018-08-01,binance-coin,1.92201%
2018-08-01,vechain,1.9203%
2018-08-01,omisego,1.66582%
2018-08-01,zcash,1.64697%
2018-08-01,qtum,1.40759%
2018-08-01,zilliqa,1.27184%
2018-08-01,bytecoin-bcn,1.26101%
2018-08-01,lisk,1.24566%
2018-08-01,decred,1.22649%
2018-08-01,bitcoin-gold,1.22472%
2018-08-01,icon,1.2103%
2018-08-01,ontology,1.19556%
2018-08-01,aeternity,1.14637%
2018-08-01,bytom,1.00518%
2018-07-01,bitcoin,18.098%
2018-07-01,ethereum,11.851%
2018-07-01,ripple,7.59645%
2018-07-01,bitcoin-cash,6.27377%
2018-07-01,eos,4.79227%
2018-07-01,litecoin,3.80416%
2018-07-01,stellar,3.36389%
2018-07-01,cardano,3.26957%
2018-07-01,iota,2.93782%
2018-07-01,tether,2.86904%
2018-07-01,tron,2.86156%
2018-07-01,neo,2.52647%
2018-07-01,monero,2.47748%
2018-07-01,dash,2.44089%
2018-07-01,binance-coin,2.2758%
2018-07-01,ethereum-classic,2.18897%
2018-07-01,vechain,2.11939%
2018-07-01,nem,2.10687%
2018-07-01,ontology,1.58143%
2018-07-01,omisego,1.55088%
2018-07-01,qtum,1.54495%
2018-07-01,zcash,1.48439%
2018-07-01,icon,1.39276%
2018-07-01,lisk,1.33942%
2018-07-01,bytecoin-bcn,1.27335%
2018-07-01,decred,1.26616%
2018-07-01,zilliqa,1.26401%
2018-07-01,aeternity,1.18704%
2018-07-01,bitcoin-gold,1.16728%
2018-07-01,bytom,1.09495%
2018-06-01,bitcoin,17.3419%
2018-06-01,ethereum,11.6699%
2018-06-01,ripple,7.49749%
2018-06-01,bitcoin-cash,6.41814%
2018-06-01,eos,5.03426%
2018-06-01,litecoin,3.99851%
2018-06-01,cardano,3.54382%
2018-06-01,stellar,3.51989%
2018-06-01,tron,3.22627%
2018-06-01,iota,3.17539%
2018-06-01,neo,2.84594%
2018-06-01,monero,2.49248%
2018-06-01,dash,2.48491%
2018-06-01,tether,2.41479%
2018-06-01,nem,2.32968%
2018-06-01,vechain,2.10018%
2018-06-01,ethereum-classic,1.92479%
2018-06-01,binance-coin,1.84455%
2018-06-01,qtum,1.68077%
2018-06-01,omisego,1.60353%
2018-06-01,zcash,1.58427%
2018-06-01,icon,1.5718%
2018-06-01,lisk,1.49264%
2018-06-01,ontology,1.3666%
2018-06-01,bitcoin-gold,1.34074%
2018-06-01,steem,1.23684%
2018-06-01,verge,1.20285%
2018-06-01,nano,1.16016%
2018-06-01,populous,1.07591%
2018-06-01,digixdao,0.821017%
2018-05-01,bitcoin,16.7664%
2018-05-01,ethereum,10.809%
2018-05-01,ripple,7.73966%
2018-05-01,bitcoin-cash,6.3968%
2018-05-01,eos,4.89445%
2018-05-01,litecoin,3.91884%
2018-05-01,cardano,3.83416%
2018-05-01,stellar,3.65808%
2018-05-01,iota,3.14443%
2018-05-01,neo,3.04219%
2018-05-01,tron,2.9395%
2018-05-01,monero,2.73699%
2018-05-01,dash,2.64506%
2018-05-01,nem,2.56024%
2018-05-01,tether,2.08021%
2018-05-01,vechain,1.97921%
2018-05-01,ethereum-classic,1.94296%
2018-05-01,qtum,1.83324%
2018-05-01,omisego,1.7782%
2018-05-01,binance-coin,1.72168%
2018-05-01,icon,1.71387%
2018-05-01,bitcoin-gold,1.51025%
2018-05-01,lisk,1.50855%
2018-05-01,zcash,1.40552%
2018-05-01,verge,1.37938%
2018-05-01,nano,1.34166%
2018-05-01,steem,1.34062%
2018-05-01,populous,1.27089%
2018-05-01,ontology,1.11349%
2018-05-01,digixdao,0.994415%
2018-04-01,bitcoin,18.5886%
2018-04-01,ethereum,10.8953%
2018-04-01,ripple,7.71131%
2018-04-01,bitcoin-cash,6.14504%
2018-04-01,litecoin,4.47716%
2018-04-01,eos,3.47687%
2018-04-01,cardano,3.34213%
2018-04-01,stellar,3.23181%
2018-04-01,neo,3.15565%
2018-04-01,iota,2.94575%
2018-04-01,monero,2.82928%
2018-04-01,dash,2.75168%
2018-04-01,tron,2.69822%
2018-04-01,nem,2.44888%
2018-04-01,tether,2.43162%
2018-04-01,ethereum-classic,2.07336%
2018-04-01,vechain,1.9894%
2018-04-01,qtum,1.90172%
2018-04-01,binance-coin,1.68104%
2018-04-01,icon,1.67462%
2018-04-01,lisk,1.63152%
2018-04-01,omisego,1.6134%
2018-04-01,bitcoin-gold,1.53564%
2018-04-01,nano,1.52058%
2018-04-01,zcash,1.41726%
2018-04-01,digixdao,1.24392%
2018-04-01,verge,1.21902%
2018-04-01,populous,1.16586%
2018-04-01,ontology,1.10438%
2018-04-01,steem,1.09902%
2018-03-01,bitcoin,17.09%
2018-03-01,ethereum,11.9604%
2018-03-01,ripple,8.05301%
2018-03-01,bitcoin-cash,6.02938%
2018-03-01,litecoin,4.46879%
2018-03-01,cardano,3.90242%
2018-03-01,neo,3.73988%
2018-03-01,stellar,3.43041%
2018-03-01,eos,3.14529%
2018-03-01,iota,2.95577%
2018-03-01,dash,2.89561%
2018-03-01,monero,2.78134%
2018-03-01,nem,2.57377%
2018-03-01,ethereum-classic,2.46637%
2018-03-01,tron,2.18425%
2018-03-01,lisk,1.98568%
2018-03-01,tether,1.93421%
2018-03-01,qtum,1.87877%
2018-03-01,bitcoin-gold,1.86159%
2018-03-01,omisego,1.74603%
2018-03-01,nano,1.66363%
2018-03-01,icon,1.62727%
2018-03-01,zcash,1.52994%
2018-03-01,binance-coin,1.28594%
2018-03-01,verge,1.23669%
2018-03-01,bytecoin-bcn,1.23663%
2018-03-01,populous,1.20196%
2018-03-01,stratis,1.1469%
2018-03-01,siacoin,1.12099%
2018-03-01,ardor,0.867144%
2018-02-01,bitcoin,15.6999%
2018-02-01,ethereum,11.8791%
2018-02-01,ripple,8.14599%
2018-02-01,bitcoin-cash,6.05921%
2018-02-01,cardano,4.5594%
2018-02-01,stellar,3.62605%
2018-02-01,litecoin,3.61287%
2018-02-01,neo,3.51616%
2018-02-01,nem,3.35115%
2018-02-01,eos,3.32442%
2018-02-01,iota,3.00745%
2018-02-01,dash,2.81515%
2018-02-01,monero,2.54325%
2018-02-01,tron,2.387%
2018-02-01,icon,2.06741%
2018-02-01,bitcoin-gold,2.01104%
2018-02-01,qtum,1.99066%
2018-02-01,ethereum-classic,1.9798%
2018-02-01,lisk,1.86023%
2018-02-01,nano,1.7368%
2018-02-01,populous,1.70686%
2018-02-01,tether,1.58678%
2018-02-01,omisego,1.49315%
2018-02-01,zcash,1.36386%
2018-02-01,stratis,1.32931%
2018-02-01,binance-coin,1.30292%
2018-02-01,verge,1.29872%
2018-02-01,siacoin,1.2951%
2018-02-01,bytecoin-bcn,1.28806%
2018-02-01,ardor,1.16218%
2018-01-31,bitcoin,15.6999%
2018-01-31,ethereum,11.8791%
2018-01-31,ripple,8.14599%
2018-01-31,bitcoin-cash,6.05921%
2018-01-31,cardano,4.5594%
2018-01-31,stellar,3.62605%
2018-01-31,litecoin,3.61287%
2018-01-31,neo,3.51616%
2018-01-31,nem,3.35115%
2018-01-31,eos,3.32442%
2018-01-31,iota,3.00745%
2018-01-31,dash,2.81515%
2018-01-31,monero,2.54325%
2018-01-31,tron,2.387%
2018-01-31,icon,2.06741%
2018-01-31,bitcoin-gold,2.01104%
2018-01-31,qtum,1.99066%
2018-01-31,ethereum-classic,1.9798%
2018-01-31,lisk,1.86023%
2018-01-31,raiblocks,1.7368%
2018-01-31,populous,1.70686%
2018-01-31,tether,1.58678%
2018-01-31,omisego,1.49315%
2018-01-31,zcash,1.36386%
2018-01-31,stratis,1.32931%
2018-01-31,binance-coin,1.30292%
2018-01-31,verge,1.29872%
2018-01-31,siacoin,1.2951%
2018-01-31,bytecoin-bcn,1.28806%
2018-01-31,ardor,1.16218%
2018-01-19,bitcoin,15.6778%
2018-01-19,ethereum,11.1892%
2018-01-19,ripple,8.68807%
2018-01-19,bitcoin-cash,6.50744%
2018-01-19,cardano,4.65332%
2018-01-19,litecoin,3.68235%
2018-01-19,nem,3.57088%
2018-01-19,stellar,3.3309%
2018-01-19,iota,3.19248%
2018-01-19,neo,3.18571%
2018-01-19,dash,2.87082%
2018-01-19,eos,2.7983%
2018-01-19,tron,2.58809%
2018-01-19,monero,2.53549%
2018-01-19,bitcoin-gold,2.10069%
2018-01-19,qtum,1.98145%
2018-01-19,ethereum-classic,1.9614%
2018-01-19,icon,1.93576%
2018-01-19,lisk,1.81744%
2018-01-19,nano,1.76413%
2018-01-19,omisego,1.54057%
2018-01-19,zcash,1.43239%
2018-01-19,verge,1.43037%
2018-01-19,siacoin,1.39139%
2018-01-19,stratis,1.38023%
2018-01-19,ardor,1.37993%
2018-01-19,binance-coin,1.37911%
2018-01-19,bytecoin-bcn,1.36839%
2018-01-19,populous,1.36167%
2018-01-19,tether,1.3042%
2018-01-01,bitcoin,17.8229%
2018-01-01,ethereum,9.57376%
2018-01-01,ripple,8.72388%
2018-01-01,bitcoin-cash,7.68485%
2018-01-01,litecoin,4.26149%
2018-01-01,cardano,3.99061%
2018-01-01,iota,3.63442%
2018-01-01,dash,3.38473%
2018-01-01,nem,3.29762%
2018-01-01,monero,2.71281%
2018-01-01,eos,2.59665%
2018-01-01,bitcoin-gold,2.52271%
2018-01-01,stellar,2.44687%
2018-01-01,neo,2.37441%
2018-01-01,qtum,2.30029%
2018-01-01,ethereum-classic,1.98447%
2018-01-01,tron,1.78929%
2018-01-01,lisk,1.78216%
2018-01-01,bitconnect,1.70505%
2018-01-01,verge,1.6947%
2018-01-01,icon,1.55258%
2018-01-01,zcash,1.42292%
2018-01-01,omisego,1.42098%
2018-01-01,ardor,1.40769%
2018-01-01,bitshares,1.37421%
2018-01-01,populous,1.34708%
2018-01-01,stratis,1.3159%
2018-01-01,waves,1.30906%
2018-01-01,tether,1.28343%
2018-01-01,nano,1.2825%
2017-12-01,bitcoin,23.8049%
2017-12-01,ethereum,12.3549%
2017-12-01,bitcoin-cash,9.43333%
2017-12-01,ripple,5.93776%
2017-12-01,dash,4.22871%
2017-12-01,litecoin,4.07464%
2017-12-01,iota,3.33227%
2017-12-01,monero,3.08076%
2017-12-01,ethereum-classic,2.97165%
2017-12-01,neo,2.8925%
2017-12-01,nem,2.68612%
2017-12-01,eos,2.12587%
2017-12-01,qtum,1.92004%
2017-12-01,lisk,1.79633%
2017-12-01,zcash,1.78622%
2017-12-01,omisego,1.75821%
2017-12-01,hshare,1.65473%
2017-12-01,tether,1.59409%
2017-12-01,bitconnect,1.56761%
2017-12-01,waves,1.3836%
2017-12-01,stratis,1.32417%
2017-12-01,ark,1.06722%
2017-12-01,bytecoin-bcn,1.0298%
2017-12-01,augur,1.01722%
2017-12-01,steem,0.957253%
2017-12-01,gas,0.915699%
2017-12-01,tenx,0.902485%
2017-12-01,komodo,0.878534%
2017-12-01,basic-attention-token,0.779837%
2017-12-01,kyber-network,0.743506%
2017-11-01,bitcoin,23.7234%
2017-11-01,ethereum,12.7376%
2017-11-01,ripple,6.65674%
2017-11-01,bitcoin-cash,6.14453%
2017-11-01,litecoin,4.11621%
2017-11-01,dash,3.4908%
2017-11-01,nem,3.17477%
2017-11-01,neo,3.026%
2017-11-01,bitconnect,3.00057%
2017-11-01,monero,2.74944%
2017-11-01,iota,2.53009%
2017-11-01,ethereum-classic,2.41756%
2017-11-01,qtum,2.07336%
2017-11-01,gas,2.0601%
2017-11-01,omisego,2.01216%
2017-11-01,zcash,1.80223%
2017-11-01,lisk,1.77249%
2017-11-01,kyber-network,1.72048%
2017-11-01,tether,1.58098%
2017-11-01,stratis,1.46088%
2017-11-01,waves,1.4065%
2017-11-01,hshare,1.37835%
2017-11-01,eos,1.23746%
2017-11-01,bytecoin-bcn,1.19559%
2017-11-01,ark,1.176%
2017-11-01,steem,1.15539%
2017-11-01,komodo,1.07464%
2017-11-01,basic-attention-token,1.0618%
2017-11-01,augur,1.04018%
2017-11-01,tenx,1.02362%
2017-10-01,bitcoin,20.531%
2017-10-01,ethereum,13.1472%
2017-10-01,bitcoin-cash,6.77681%
2017-10-01,ripple,6.76138%
2017-10-01,litecoin,4.19299%
2017-10-01,dash,3.97495%
2017-10-01,nem,3.6155%
2017-10-01,iota,3.14381%
2017-10-01,monero,3.00142%
2017-10-01,neo,2.94137%
2017-10-01,ethereum-classic,2.68538%
2017-10-01,omisego,2.46155%
2017-10-01,bitconnect,2.30495%
2017-10-01,lisk,2.04691%
2017-10-01,zcash,1.91219%
2017-10-01,qtum,1.90288%
2017-10-01,waves,1.70411%
2017-10-01,stratis,1.6636%
2017-10-01,tether,1.64785%
2017-10-01,steem,1.41216%
2017-10-01,ark,1.3557%
2017-10-01,tenx,1.28099%
2017-10-01,kyber-network,1.25538%
2017-10-01,eos,1.24763%
2017-10-01,bytecoin-bcn,1.24763%
2017-10-01,basic-attention-token,1.19722%
2017-10-01,hshare,1.18195%
2017-10-01,augur,1.17522%
2017-10-01,komodo,1.13381%
2017-10-01,gas,1.09653%
2017-09-01,bitcoin,19.4592%
2017-09-01,ethereum,13.1128%
2017-09-01,byteball,7.10502%
2017-09-01,ripple,6.6407%
2017-09-01,litecoin,4.04502%
2017-09-01,dash,3.67457%
2017-09-01,nem,3.65516%
2017-09-01,iota,3.53182%
2017-09-01,monero,3.07584%
2017-09-01,neo,3.05104%
2017-09-01,ethereum-classic,2.76395%
2017-09-01,factom,2.40894%
2017-09-01,gamecredits,2.1999%
2017-09-01,gnosis-gno,2.19718%
2017-09-01,bitconnect,2.0493%
2017-09-01,stratis,1.85636%
2017-09-01,lisk,1.79934%
2017-09-01,zcash,1.67691%
2017-09-01,waves,1.66027%
2017-09-01,iconomi,1.46743%
2017-09-01,dogecoin,1.45724%
2017-09-01,bitshares,1.37477%
2017-09-01,bytecoin-bcn,1.34032%
2017-09-01,steem,1.32513%
2017-09-01,siacoin,1.28376%
2017-09-01,augur,1.19698%
2017-09-01,maidsafecoin,1.1845%
2017-09-01,stellar,1.15765%
2017-09-01,golem-network-tokens,1.15635%
2017-09-01,ardor,1.09258%
2017-08-01,bitcoin,21.2059%
2017-08-01,ethereum,13.8921%
2017-08-01,ripple,8.15477%
2017-08-01,litecoin,4.70259%
2017-08-01,nem,3.8285%
2017-08-01,ethereum-classic,3.70656%
2017-08-01,dash,3.70399%
2017-08-01,iota,2.70791%
2017-08-01,monero,2.4969%
2017-08-01,stratis,2.22947%
2017-08-01,ardor,2.10777%
2017-08-01,bitconnect,2.01146%
2017-08-01,neo,1.91801%
2017-08-01,byteball,1.90322%
2017-08-01,bitshares,1.8721%
2017-08-01,zcash,1.84176%
2017-08-01,maidsafecoin,1.78814%
2017-08-01,gamecredits,1.78404%
2017-08-01,steem,1.75042%
2017-08-01,waves,1.70669%
2017-08-01,iconomi,1.64526%
2017-08-01,bytecoin-bcn,1.54923%
2017-08-01,siacoin,1.54159%
2017-08-01,gnosis-gno,1.48254%
2017-08-01,lisk,1.45304%
2017-08-01,golem-network-tokens,1.43675%
2017-08-01,dogecoin,1.40739%
2017-08-01,augur,1.4072%
2017-08-01,factom,1.38239%
2017-08-01,stellar,1.38227%
2017-07-01,bitcoin,18.5945%
2017-07-01,ethereum,15.4049%
2017-07-01,ripple,9.38184%
2017-07-01,litecoin,4.23517%
2017-07-01,ethereum-classic,3.87597%
2017-07-01,nem,3.56902%
2017-07-01,dash,3.29273%
2017-07-01,iota,3.09428%
2017-07-01,bitshares,2.42431%
2017-07-01,stratis,2.36254%
2017-07-01,monero,2.35113%
2017-07-01,zcash,2.05382%
2017-07-01,golem-network-tokens,1.93184%
2017-07-01,steem,1.89221%
2017-07-01,siacoin,1.88692%
2017-07-01,waves,1.87395%
2017-07-01,bytecoin-bcn,1.87062%
2017-07-01,neo,1.77448%
2017-07-01,iconomi,1.69729%
2017-07-01,bitconnect,1.69469%
2017-07-01,stellar,1.61866%
2017-07-01,lisk,1.60078%
2017-07-01,dogecoin,1.59465%
2017-07-01,augur,1.59033%
2017-07-01,gnosis-gno,1.49515%
2017-07-01,gamecredits,1.4176%
2017-07-01,factom,1.39023%
2017-07-01,ardor,1.38914%
2017-07-01,maidsafecoin,1.33868%
2017-07-01,byteball,1.3026%
2017-06-01,bitcoin,21.0281%
2017-06-01,ethereum,14.6868%
2017-06-01,ripple,10.789%
2017-06-01,nem,4.74809%
2017-06-01,ethereum-classic,4.2408%
2017-06-01,litecoin,4.03725%
2017-06-01,dash,3.27463%
2017-06-01,monero,2.65197%
2017-06-01,bytecoin-bcn,2.29538%
2017-06-01,stratis,2.16212%
2017-06-01,tether,2.12349%
2017-06-01,golem-network-tokens,2.0328%
2017-06-01,dogecoin,1.88957%
2017-06-01,zcash,1.88869%
2017-06-01,pivx,1.75026%
2017-06-01,waves,1.74422%
2017-06-01,augur,1.69537%
2017-06-01,steem,1.67669%
2017-06-01,siacoin,1.56522%
2017-06-01,bitshares,1.47086%
2017-06-01,maidsafecoin,1.4358%
2017-06-01,gamecredits,1.39893%
2017-06-01,digixdao,1.37314%
2017-06-01,komodo,1.22329%
2017-06-01,lisk,1.19004%
2017-06-01,ardor,1.14612%
2017-06-01,factom,1.14281%
2017-06-01,decred,1.1307%
2017-06-01,bitconnect,1.1222%
2017-06-01,iconomi,1.08563%
2017-05-01,bitcoin,26.6593%
2017-05-01,ethereum,13.9176%
2017-05-01,ripple,7.27551%
