Bitwise Asset Management
Bitwise 10 Large Cap Crypto Index (BITX)
Data as of 07/07/2021 4pm EDT
Index Inception Date: 10/01/2017 8pm EDT
Please read important disclosures below the data.

Date,BITX,% Change
Thu May 04 2017 00:00:00 GMT+0000,2058.65,4.12%
Fri May 05 2017 00:00:00 GMT+0000,2248.03,9.20%
Sat May 06 2017 00:00:00 GMT+0000,2300.77,2.35%
Sun May 07 2017 00:00:00 GMT+0000,2361.65,2.65%
Mon May 08 2017 00:00:00 GMT+0000,2461.3,4.22%
Tue May 09 2017 00:00:00 GMT+0000,2684.44,9.07%
Wed May 10 2017 00:00:00 GMT+0000,2617.2,-2.50%
Thu May 11 2017 00:00:00 GMT+0000,2694.02,2.94%
Fri May 12 2017 00:00:00 GMT+0000,2737.85,1.63%
Sat May 13 2017 00:00:00 GMT+0000,2667.09,-2.58%
Sun May 14 2017 00:00:00 GMT+0000,2770.63,3.88%
Mon May 15 2017 00:00:00 GMT+0000,2791.79,0.76%
Tue May 16 2017 00:00:00 GMT+0000,2841.05,1.76%
Wed May 17 2017 00:00:00 GMT+0000,2998.16,5.53%
Thu May 18 2017 00:00:00 GMT+0000,3179.98,6.06%
Fri May 19 2017 00:00:00 GMT+0000,3232.58,1.65%
Sat May 20 2017 00:00:00 GMT+0000,3394.14,5.00%
Sun May 21 2017 00:00:00 GMT+0000,3517.37,3.63%
Mon May 22 2017 00:00:00 GMT+0000,3617.63,2.85%
Tue May 23 2017 00:00:00 GMT+0000,3809.92,5.32%
Wed May 24 2017 00:00:00 GMT+0000,4094.27,7.46%
Thu May 25 2017 00:00:00 GMT+0000,4200.94,2.61%
Fri May 26 2017 00:00:00 GMT+0000,3855.13,-8.23%
Sat May 27 2017 00:00:00 GMT+0000,3683.66,-4.45%
Sun May 28 2017 00:00:00 GMT+0000,3414.59,-7.30%
Mon May 29 2017 00:00:00 GMT+0000,3606.03,5.61%
Tue May 30 2017 00:00:00 GMT+0000,3841.71,6.54%
Wed May 31 2017 00:00:00 GMT+0000,3905.73,1.67%
Thu Jun 01 2017 00:00:00 GMT+0000,4090.52,4.73%
Fri Jun 02 2017 00:00:00 GMT+0000,4389.62,7.31%
Sat Jun 03 2017 00:00:00 GMT+0000,4409.31,0.45%
Sun Jun 04 2017 00:00:00 GMT+0000,4432,0.51%
Mon Jun 05 2017 00:00:00 GMT+0000,4520.74,2.00%
Tue Jun 06 2017 00:00:00 GMT+0000,4705.55,4.09%
Wed Jun 07 2017 00:00:00 GMT+0000,4915.32,4.46%
Thu Jun 08 2017 00:00:00 GMT+0000,4726.82,-3.83%
Fri Jun 09 2017 00:00:00 GMT+0000,4857.63,2.77%
Sat Jun 10 2017 00:00:00 GMT+0000,4958.91,2.08%
