,copula,risk_measure,h,file,HE,likelihood,AIC,AIC_selected
962,Clayton,ES q=0.01,1.05810546875,130.csv,0.3809371081174021,77.38931776328462,-152.77863552656925,0
963,Clayton,ES q=0.05,0.6429687499999996,177.csv,0.09398762687398043,87.54861038392623,-173.09722076785246,0
964,Clayton,ES q=0.01,0.8143554687499998,53.csv,0.31879701429704466,121.61935650890118,-241.23871301780235,0
965,Clayton,ES q=0.01,0.8644531249999998,118.csv,0.3570330517301452,55.73438627580886,-109.46877255161772,0
966,Clayton,ES q=0.01,0.6729492187499997,126.csv,0.2782686257653081,80.11297494280528,-158.22594988561056,0
967,Clayton,ES q=0.05,1.2911132812500008,111.csv,0.4690148824846341,-424.35937064804193,850.7187412960839,0
968,Clayton,VaR q=0.01,0.6499023437499997,48.csv,0.1597545722011986,122.00490857245268,-242.00981714490536,0
969,Clayton,VaR q=0.01,0.6576171874999996,183.csv,-0.07012053839791377,94.0388054354595,-186.077610870919,0
970,Clayton,Variance,1.0442382812500002,16.csv,0.6534243391377501,123.50028402987951,-245.00056805975902,0
971,Clayton,ES q=0.01,0.7753906249999998,139.csv,0.17886101974644508,116.92716482163583,-231.85432964327165,0
972,Clayton,ES q=0.05,1.1995117187500006,105.csv,0.44301652423980276,-277.42523822813695,556.8504764562739,0
973,Clayton,ES q=0.01,0.8220703125,63.csv,0.3340924234124699,126.02826295400423,-250.05652590800847,0
974,Clayton,ES q=0.01,0.7998046874999998,105.csv,0.31885764491955615,-277.42523822813695,556.8504764562739,0
975,Clayton,VaR q=0.05,0.959765625,166.csv,-0.07386204409161468,95.7375566835546,-189.4751133671092,0
976,Clayton,ERM k=10,0.9518554687499999,13.csv,0.4353772984588119,138.59925334833812,-275.19850669667625,0
977,Clayton,VaR q=0.01,0.6714843749999998,166.csv,-0.09229491014094071,95.7375566835546,-189.4751133671092,0
978,Clayton,ERM k=10,0.8923828125,60.csv,0.34628690026897757,124.19999235942991,-246.39998471885983,0
979,Clayton,VaR q=0.01,1.3251953125000009,111.csv,0.5522293985964521,-424.35937064804193,850.7187412960839,0
980,Clayton,Variance,1.1480468750000004,139.csv,0.44577394067653187,116.92716482163583,-231.85432964327165,0
981,Clayton,Variance,1.0110351562499997,18.csv,0.6496318547386772,127.43762633251885,-252.8752526650377,0
982,Clayton,ES q=0.05,1.2484375000000005,123.csv,0.4487597620205317,14.515846649133975,-27.03169329826795,0
983,Clayton,ERM k=10,0.9621093749999999,16.csv,0.4357073061158817,123.50028402987951,-245.00056805975902,0
984,Clayton,ES q=0.05,0.6470703124999997,183.csv,0.09305575789375231,94.0388054354595,-186.077610870919,0
985,Clayton,Variance,1.1338867187500004,0.csv,0.6712503016149205,24.77593281627857,-47.55186563255714,0
986,Clayton,ERM k=10,1.0163085937499998,139.csv,0.3341943595062947,116.92716482163583,-231.85432964327165,0
987,Clayton,VaR q=0.05,1.4824218750000009,128.csv,0.3287028654958448,49.57913007584027,-97.15826015168054,0
988,Clayton,ES q=0.05,1.0319335937499998,139.csv,0.3195823248641215,116.92716482163583,-231.85432964327165,0
989,Clayton,VaR q=0.05,1.1945312500000003,135.csv,0.4166278063520924,100.70232934155774,-199.40465868311549,0
990,Clayton,ES q=0.01,0.6687499999999997,128.csv,0.2767633750728953,49.57913007584027,-97.15826015168054,0
991,Clayton,VaR q=0.05,1.644335937500002,105.csv,0.4338200494919333,-277.42523822813695,556.8504764562739,0
