,Date,log return crix,log return future
626,2018-08-10,0.03962060632471275,-0.010886577193014741
627,2018-08-09,-0.08207740319762495,0.021102776067736036
628,2018-08-08,-0.04730574533753807,-0.09703209155134457
629,2018-08-07,-0.017383429779556873,0.007194275634027231
630,2018-08-06,-0.040910217508608585,-0.06160099784119138
631,2018-08-03,-0.018888748578785173,-0.021491760720345816
632,2018-08-02,-0.015448515922524707,-0.001991371384925287
633,2018-08-01,-0.0540605015264804,-0.024239640763944505
634,2018-07-31,-0.011972615938163907,-0.047402238894583906
635,2018-07-30,0.0235725482607214,-0.014097689810838336
636,2018-07-27,-0.024829954438764294,-0.008484899389294842
637,2018-07-26,-0.022571806478312726,0.015202481902510648
638,2018-07-25,0.07240705667646317,-0.015805800171187923
639,2018-07-24,0.016432226293446612,0.062209109264546786
