Date,Frank
2019-12-30,0.0008238981387339948
2019-12-31,-0.0037990944540704837
2020-01-02,0.012703341873104798
2020-01-03,-0.015470527973636867
2020-01-06,0.01669207353028988
2020-01-07,-0.013191536486353829
2020-01-08,0.07290318797933905
2020-01-09,-0.030874670294006964
2020-01-10,-0.00439448169562871
2020-01-13,0.0007682121582578468
2020-01-14,0.0324348618055291
2020-01-15,0.0008624790298274749
2020-01-16,-0.00542788328428136
2020-01-17,0.005761324993804488
2020-01-21,-0.00615957205103838
2020-01-22,0.002672550882679535
2020-01-23,-0.011417231872162838
2020-01-24,0.0054573049860862435
2020-01-27,-0.0038771837804493087
2020-01-28,0.02298445721185089
2020-01-29,0.007814239031594287
2020-01-30,-0.004613284561647169
2020-01-31,0.010206387518429996
2020-02-03,-0.006542645820907607
