,Date,log return crix,log return brr
671,2019-03-22,-0.018359861538815376,0.0064892664734185635
672,2019-03-21,0.00824457217395843,-0.009323257209475619
673,2019-03-20,0.00616211512490642,0.006033117597533786
674,2019-03-19,0.0007340884477309693,0.0029268362723671097
675,2019-03-18,-0.008825806622676858,-0.0016458253822527649
676,2019-03-17,0.02275026312550124,-0.0021885534856046275
677,2019-03-16,0.01740184874972988,0.021118103245002684
678,2019-03-15,0.004193104169096756,0.010998508335054946
679,2019-03-14,-0.0033116939911014003,0.0018882313251637123
680,2019-03-13,0.007690839114150135,-0.004034455262894877
681,2019-03-12,-0.016169541559693624,0.006072130832594047
682,2019-03-11,-0.00272210671248315,-0.01407455645815018
683,2019-03-10,0.022953542349454962,-0.008807497738400434
684,2019-03-09,-0.0077515138020965825,0.010025775131970584
